system	sample_id	sample_slug	TF	TF_role	motif_test_status	motif_token	q_value	log2_odds_ratio	motif_enriched_q1e-5
patient	TCGA-44-3918	TCGA-44-3918	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000409|MA1494.2	0.7887	0.01984389098903257	FALSE
patient	TCGA-44-3918	TCGA-44-3918	NFATC4	LUAD_HC_TF	TESTED	JASPAR2024|000506|MA1525.3	0.2614	0.08361379766747148	FALSE
patient	TCGA-44-3918	TCGA-44-3918	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000822|MA1994.2	0.6191	0.07690165325639757	FALSE
patient	TCGA-44-3918	TCGA-44-3918	NR3C2	LUAD_HC_TF	TESTED	JASPAR2024|000539|MA0727.2	0.3594	0.10815235738570249	FALSE
patient	TCGA-44-3918	TCGA-44-3918	XBP1	LUAD_HC_TF	TESTED	JASPAR2024|000675|MA0844.2	0.0308	0.13505966420273277	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZBTB18	LUAD_HC_TF	TESTED	JASPAR2024|000681|MA0698.2	1.0	-0.032868378141303424	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF141	LUAD_HC_TF	TESTED	CIS-BP2.00|000653|M07586_2.00	0.7059	0.009637134390798741	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF19	LUAD_HC_TF	TESTED	CIS-BP2.00|000670|M07603_2.00	0.0837	0.8843683588621011	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF254	LUAD_HC_TF	TESTED	CIS-BP2.00|000827|M07760_2.00	1.0	-0.11919549933483492	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF281	LUAD_HC_TF	TESTED	JASPAR2024|000706|MA1630.3	1.0	-0.0801170875716619	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF33A	LUAD_HC_TF	TESTED	CIS-BP2.00|000762|M07695_2.00	0.1151	0.13811517391516331	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF33B	LUAD_HC_TF	TESTED	CIS-BP2.00|000777|M07710_2.00	0.8064	-0.0001342979133356905	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF341	LUAD_HC_TF	TESTED	JASPAR2024|000712|MA1655.2	1.0	-0.5478714548064151	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF444	LUAD_HC_TF	TESTED	CIS-BP2.00|000420|M04529_2.00	0.0028	0.16927164659887287	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF540	LUAD_HC_TF	TESTED	CIS-BP2.00|000701|M07634_2.00	0.8973	-0.012883637966851838	FALSE
patient	TCGA-44-3918	TCGA-44-3918	ZNF75D	LUAD_HC_TF	TESTED	JASPAR2024|000169|MA1601.2	0.3047	0.07438630616040702	FALSE
patient	TCGA-44-6146	TCGA-44-6146	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000234|MA0102.5	0.4124	0.05373414891784334	FALSE
patient	TCGA-44-6146	TCGA-44-6146	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0	0.44887239768392595	TRUE
patient	TCGA-44-6146	TCGA-44-6146	CREB3L2	LUAD_HC_TF	TESTED	JASPAR2024|000025|MA0608.1	0.1819	0.07839778877863963	FALSE
patient	TCGA-44-6146	TCGA-44-6146	E2F5	LUAD_HC_TF	TESTED	CIS-BP2.00|000940|M08109_2.00	0.5469	0.029624194786044823	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000276|MA0640.3	0.1819	0.6175165945065354	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ETV1	LUAD_HC_TF	TESTED	JASPAR2024|000311|MA0761.3	0.0702	0.7838116911711022	FALSE
patient	TCGA-44-6146	TCGA-44-6146	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000356|MA0148.5	0.9509	-0.02922814851163815	FALSE
patient	TCGA-44-6146	TCGA-44-6146	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000357|MA0047.4	0.546	0.027722946564663883	FALSE
patient	TCGA-44-6146	TCGA-44-6146	FOXA3	LUAD_HC_TF	TESTED	JASPAR2024|000358|MA1683.2	0.6222	0.019668070106688182	FALSE
patient	TCGA-44-6146	TCGA-44-6146	FOXD2	LUAD_HC_TF	TESTED	JASPAR2024|000361|MA0847.4	0.1638	0.08794687480493232	FALSE
patient	TCGA-44-6146	TCGA-44-6146	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000382|MA1104.3	0.9937	-0.09850897457782437	FALSE
patient	TCGA-44-6146	TCGA-44-6146	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000409|MA1494.2	0.4124	0.07551684028750262	FALSE
patient	TCGA-44-6146	TCGA-44-6146	NFATC4	LUAD_HC_TF	TESTED	JASPAR2024|000506|MA1525.3	0.0702	0.12862601963132203	FALSE
patient	TCGA-44-6146	TCGA-44-6146	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000822|MA1994.2	0.9937	-0.10074921917414496	FALSE
patient	TCGA-44-6146	TCGA-44-6146	NR3C2	LUAD_HC_TF	TESTED	JASPAR2024|000539|MA0727.2	0.4124	0.09108044818563449	FALSE
patient	TCGA-44-6146	TCGA-44-6146	XBP1	LUAD_HC_TF	TESTED	JASPAR2024|000675|MA0844.2	0.0702	0.11323658245165495	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZBTB18	LUAD_HC_TF	TESTED	JASPAR2024|000681|MA0698.2	0.9937	-0.06975783172931367	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF141	LUAD_HC_TF	TESTED	CIS-BP2.00|000653|M07586_2.00	0.1318	0.08589739663438226	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF19	LUAD_HC_TF	TESTED	CIS-BP2.00|000670|M07603_2.00	0.216	0.42542806505416686	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF254	LUAD_HC_TF	TESTED	CIS-BP2.00|000827|M07760_2.00	1.0	-0.141723165387333	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF281	LUAD_HC_TF	TESTED	JASPAR2024|000706|MA1630.3	0.9937	-0.07847100084913279	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF33A	LUAD_HC_TF	TESTED	CIS-BP2.00|000762|M07695_2.00	0.1154	0.1491768913374421	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF33B	LUAD_HC_TF	TESTED	CIS-BP2.00|000777|M07710_2.00	0.2951	0.04898823497838044	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF341	LUAD_HC_TF	TESTED	JASPAR2024|000712|MA1655.2	0.4609	0.23253383348101128	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF444	LUAD_HC_TF	TESTED	CIS-BP2.00|000420|M04529_2.00	0.0004	0.19638653552815855	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF540	LUAD_HC_TF	TESTED	CIS-BP2.00|000701|M07634_2.00	0.7045	0.0070291137855549145	FALSE
patient	TCGA-44-6146	TCGA-44-6146	ZNF75D	LUAD_HC_TF	TESTED	JASPAR2024|000169|MA1601.2	0.835	-0.008107790711874714	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000234|MA0102.5	0.872	-0.011577612033424743	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0	0.45532706170698295	TRUE
patient	TCGA-44-A47F	TCGA-44-A47F	CREB3L2	LUAD_HC_TF	TESTED	JASPAR2024|000025|MA0608.1	0.4055	0.06500518911446941	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	E2F5	LUAD_HC_TF	TESTED	CIS-BP2.00|000940|M08109_2.00	0.8838	-0.037841472060734085	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000276|MA0640.3	0.0252	2.0630672089672304	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ETV1	LUAD_HC_TF	TESTED	JASPAR2024|000311|MA0761.3	0.4919	0.4081436871868585	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000356|MA0148.5	0.7475	0.0157321047264228	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000357|MA0047.4	0.872	-0.01116314952982306	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	FOXA3	LUAD_HC_TF	TESTED	JASPAR2024|000358|MA1683.2	0.935	-0.06771462743911136	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	FOXD2	LUAD_HC_TF	TESTED	JASPAR2024|000361|MA0847.4	0.4136	0.061225213232714494	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000382|MA1104.3	1.0	-0.13041089027817795	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000410|MA0114.5	0.467	0.15253759466026287	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	NFATC4	LUAD_HC_TF	TESTED	JASPAR2024|000506|MA1525.3	0.2728	0.08910961005745036	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000822|MA1994.2	0.6731	0.07268097794925579	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	NR3C2	LUAD_HC_TF	TESTED	JASPAR2024|000539|MA0727.2	0.872	-0.0077606810696119	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	XBP1	LUAD_HC_TF	TESTED	JASPAR2024|000675|MA0844.2	0.0014	0.17823454507771241	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZBTB18	LUAD_HC_TF	TESTED	JASPAR2024|000681|MA0698.2	0.872	-0.01442172582490682	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF141	LUAD_HC_TF	TESTED	CIS-BP2.00|000653|M07586_2.00	0.1872	0.08051146269498706	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF19	LUAD_HC_TF	TESTED	CIS-BP2.00|000670|M07603_2.00	0.4569	-0.23939968820502283	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF254	LUAD_HC_TF	TESTED	CIS-BP2.00|000827|M07760_2.00	1.0	-0.34515409610133807	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF281	LUAD_HC_TF	TESTED	JASPAR2024|000706|MA1630.3	0.6731	0.029114011929784692	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF33A	LUAD_HC_TF	TESTED	CIS-BP2.00|000762|M07695_2.00	0.5882	0.014346820483711619	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF33B	LUAD_HC_TF	TESTED	CIS-BP2.00|000777|M07710_2.00	0.952	-0.040290354897693406	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF341	LUAD_HC_TF	TESTED	JASPAR2024|000712|MA1655.2	1.0	-0.5216432477315116	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF444	LUAD_HC_TF	TESTED	CIS-BP2.00|000420|M04529_2.00	0.0	0.23203801073657768	TRUE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF540	LUAD_HC_TF	TESTED	CIS-BP2.00|000701|M07634_2.00	1.0	-0.09466883721653147	FALSE
patient	TCGA-44-A47F	TCGA-44-A47F	ZNF75D	LUAD_HC_TF	TESTED	JASPAR2024|000169|MA1601.2	0.5312	0.04243685964075789	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000234|MA0102.5	0.3801	0.0481771861052525	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0118	0.27276381825774837	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	CREB3L2	LUAD_HC_TF	TESTED	JASPAR2024|000025|MA0608.1	0.0002	0.20593454461934796	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	E2F5	LUAD_HC_TF	TESTED	CIS-BP2.00|000940|M08109_2.00	1.0	-0.04474841516452607	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000276|MA0640.3	0.1183	0.9274382345613118	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ETV1	LUAD_HC_TF	TESTED	JASPAR2024|000311|MA0761.3	0.1349	0.5614216765597702	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000356|MA0148.5	0.3743	0.06135835386740883	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000357|MA0047.4	0.4773	0.020902537757270037	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	FOXA3	LUAD_HC_TF	TESTED	JASPAR2024|000358|MA1683.2	0.4693	0.03795884371078401	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	FOXD2	LUAD_HC_TF	TESTED	JASPAR2024|000361|MA0847.4	0.0041	0.16173875202254162	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000382|MA1104.3	0.9098	-0.06849374478495665	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000409|MA1494.2	0.4693	0.03644877434006809	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	NFATC4	LUAD_HC_TF	TESTED	JASPAR2024|000506|MA1525.3	0.1349	0.0939594173466177	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000822|MA1994.2	0.3964	0.0806428686965273	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	NR3C2	LUAD_HC_TF	TESTED	JASPAR2024|000539|MA0727.2	0.3801	0.09012423098401075	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	XBP1	LUAD_HC_TF	TESTED	JASPAR2024|000675|MA0844.2	0.0024	0.17018807017683343	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ZBTB18	LUAD_HC_TF	TESTED	JASPAR2024|000681|MA0698.2	0.3801	0.0398883331160532	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ZNF141	LUAD_HC_TF	TESTED	CIS-BP2.00|000653|M07586_2.00	0.4389	0.06237002443362352	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ZNF19	LUAD_HC_TF	TESTED	CIS-BP2.00|000670|M07603_2.00	0.5243	0.8780540076104515	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ZNF254	LUAD_HC_TF	TESTED	CIS-BP2.00|000827|M07760_2.00	1.0	-0.18602231182843773	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ZNF281	LUAD_HC_TF	TESTED	JASPAR2024|000706|MA1630.3	0.7926	-0.035316050379396745	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ZNF33A	LUAD_HC_TF	TESTED	CIS-BP2.00|000762|M07695_2.00	0.3516	0.13387695777193034	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ZNF33B	LUAD_HC_TF	TESTED	CIS-BP2.00|000777|M07710_2.00	0.8996	0.008201961368456627	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ZNF341	LUAD_HC_TF	TESTED	JASPAR2024|000712|MA1655.2	0.1939	2.3677252928774735	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ZNF444	LUAD_HC_TF	TESTED	CIS-BP2.00|000420|M04529_2.00	0.0	0.2335528052418312	TRUE
patient	TCGA-49-AARO	TCGA-49-AARO	ZNF540	LUAD_HC_TF	TESTED	CIS-BP2.00|000701|M07634_2.00	1.0	-0.04936283962825949	FALSE
patient	TCGA-49-AARO	TCGA-49-AARO	ZNF75D	LUAD_HC_TF	TESTED	JASPAR2024|000169|MA1601.2	0.7313	-0.01634625709020972	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000234|MA0102.5	0.8883	9.701532536674986e-05	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0015	0.332961435791596	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	CREB3L2	LUAD_HC_TF	TESTED	JASPAR2024|000025|MA0608.1	0.0445	0.11203443074616289	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	E2F5	LUAD_HC_TF	TESTED	CIS-BP2.00|000940|M08109_2.00	1.0	-0.11994556760069074	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000276|MA0640.3	0.7452	0.3193951851192144	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ETV1	LUAD_HC_TF	TESTED	JASPAR2024|000311|MA0761.3	0.8837	0.08738100246421028	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000356|MA0148.5	0.3061	0.08449223890606193	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000357|MA0047.4	0.7452	0.029885884713378802	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	FOXA3	LUAD_HC_TF	TESTED	JASPAR2024|000358|MA1683.2	0.8837	0.016179068783737593	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	FOXD2	LUAD_HC_TF	TESTED	JASPAR2024|000361|MA0847.4	0.0002	0.21473441274749913	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000382|MA1104.3	1.0	-0.07905969504804265	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000410|MA0114.5	0.8883	-0.004271010529285716	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	NFATC4	LUAD_HC_TF	TESTED	JASPAR2024|000506|MA1525.3	0.0109	0.15273179486482916	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000822|MA1994.2	0.8883	-0.0466293954369467	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	NR3C2	LUAD_HC_TF	TESTED	JASPAR2024|000539|MA0727.2	0.8883	-6.940128010370765e-05	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	XBP1	LUAD_HC_TF	TESTED	JASPAR2024|000675|MA0844.2	0.0015	0.17583610581881395	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ZBTB18	LUAD_HC_TF	TESTED	JASPAR2024|000681|MA0698.2	0.7452	0.032295799445479625	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ZNF141	LUAD_HC_TF	TESTED	CIS-BP2.00|000653|M07586_2.00	1.0	-0.04644412764990806	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ZNF19	LUAD_HC_TF	TESTED	CIS-BP2.00|000670|M07603_2.00	0.1228	0.6561159046353235	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ZNF254	LUAD_HC_TF	TESTED	CIS-BP2.00|000827|M07760_2.00	1.0	-0.17730907323677486	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ZNF281	LUAD_HC_TF	TESTED	JASPAR2024|000706|MA1630.3	1.0	-0.11361750907290166	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ZNF33A	LUAD_HC_TF	TESTED	CIS-BP2.00|000762|M07695_2.00	0.8758	0.009628100822192266	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ZNF33B	LUAD_HC_TF	TESTED	CIS-BP2.00|000777|M07710_2.00	1.0	-0.1027917624848634	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ZNF341	LUAD_HC_TF	TESTED	JASPAR2024|000712|MA1655.2	1.0	-0.6072008265341549	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ZNF444	LUAD_HC_TF	TESTED	CIS-BP2.00|000420|M04529_2.00	0.0006	0.19027664912101386	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ZNF540	LUAD_HC_TF	TESTED	CIS-BP2.00|000701|M07634_2.00	0.7329	0.02160182395339142	FALSE
patient	TCGA-4B-A93V	TCGA-4B-A93V	ZNF75D	LUAD_HC_TF	TESTED	JASPAR2024|000169|MA1601.2	0.8883	-0.008863421338666187	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	CEBPA	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000234|MA0102.5	1.0	-0.01967452954366104	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	CEBPB	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000235|MA0466.4	0.0	0.43763243432532944	TRUE
patient	TCGA-73-A9RS	TCGA-73-A9RS	CREB3L2	LUAD_HC_TF	TESTED	JASPAR2024|000025|MA0608.1	0.031	0.12666389834674005	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	E2F5	LUAD_HC_TF	TESTED	CIS-BP2.00|000940|M08109_2.00	1.0	-0.12107740544826186	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	ELF3	LUAD_HC_TF_AND_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000276|MA0640.3	1.0	-0.3142290422813137	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	ETV1	LUAD_HC_TF	TESTED	JASPAR2024|000652|MA1966.2	0.8894	0.009948082266970274	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	FOXA1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000356|MA0148.5	1.0	-0.014446321450591916	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	FOXA2	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000357|MA0047.4	1.0	-0.02973441030300183	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	FOXA3	LUAD_HC_TF	TESTED	JASPAR2024|000358|MA1683.2	0.7598	0.026956832230104966	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	FOXD2	LUAD_HC_TF	TESTED	JASPAR2024|000361|MA0847.4	0.0005	0.19355083404590104	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	GATA6	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000382|MA1104.3	1.0	-0.08393620609495162	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	HNF4A	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000409|MA1494.2	1.0	-0.023708618490446434	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	NFATC4	LUAD_HC_TF	TESTED	JASPAR2024|000506|MA1525.3	0.3622	0.07855289193873399	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	NKX2-1	LUAD_LINEAGE_POSITIVE_CONTROL	TESTED	JASPAR2024|000822|MA1994.2	1.0	-0.11567376137722163	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	NR3C2	LUAD_HC_TF	TESTED	JASPAR2024|000539|MA0727.2	0.3622	0.11633413736616609	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	XBP1	LUAD_HC_TF	TESTED	JASPAR2024|000675|MA0844.2	0.3622	0.05992937591466347	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	ZBTB18	LUAD_HC_TF	TESTED	JASPAR2024|000681|MA0698.2	0.3622	0.06646067226979403	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	ZNF141	LUAD_HC_TF	TESTED	CIS-BP2.00|000653|M07586_2.00	0.0911	0.09648381206756537	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	ZNF19	LUAD_HC_TF	TESTED	CIS-BP2.00|000670|M07603_2.00	0.1289	0.43580091948043215	FALSE
patient	TCGA-73-A9RS	TCGA-73-A9RS	ZNF254	LUAD_HC_TF	TESTED	CIS-BP2.00|000827|M07760_2.00	1.0	-0.12880120714509463	FALSE
