TF	motif_token	p_value	q_value	target_with_motif	target_total	background_with_motif	background_total	log2_odds_ratio	motif_enriched_q1e-5	system	sample_id	sample_slug
ELF3	JASPAR2024|000276|MA0640.3	1.0	1.0	3569.0	3583.0	27469.8	27583.0	0.027028689957204213	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA3	JASPAR2024|000358|MA1683.2	1.0	1.0	3161.0	3583.0	24385.5	27583.0	-0.027225317442143286	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA1	JASPAR2024|000356|MA0148.5	1.0	1.0	2864.0	3583.0	22117.5	27583.0	-0.023446826419971985	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZBTB18	JASPAR2024|000681|MA0698.2	1.0	1.0	2033.0	3583.0	15804.2	27583.0	-0.032868378141303424	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ETV1	JASPAR2024|000652|MA1966.2	1.0	1.0	3454.0	3583.0	26676.2	27583.0	-0.14040383339678195	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF281	JASPAR2024|000706|MA1630.3	1.0	1.0	2914.0	3583.0	22659.4	27583.0	-0.0801170875716619	FALSE	patient	TCGA-44-3918	TCGA-44-3918
HNF4A	JASPAR2024|000410|MA0114.5	1.0	1.0	3427.0	3583.0	26514.6	27583.0	-0.17969329136917153	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF341	JASPAR2024|000712|MA1655.2	1.0	1.0	3579.0	3583.0	27559.8	27583.0	-0.5478714548064151	FALSE	patient	TCGA-44-3918	TCGA-44-3918
GATA6	JASPAR2024|000382|MA1104.3	1.0	1.0	2912.0	3583.0	22704.3	27583.0	-0.10148205740526936	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF444	CIS-BP2.00|000420|M04529_2.00	0.001	0.0028	1374.0	3581.0	9813.2	27536.0	0.16927164659887287	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF19	CIS-BP2.00|000670|M07603_2.00	0.1	0.0837	3575.0	3581.0	27444.4	27536.0	0.8843683588621011	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF33A	CIS-BP2.00|000762|M07695_2.00	0.1	0.1151	3289.0	3581.0	25082.1	27536.0	0.13811517391516331	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF141	CIS-BP2.00|000653|M07586_2.00	1.0	0.7059	2584.0	3581.0	19831.1	27536.0	0.009637134390798741	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF33B	CIS-BP2.00|000777|M07710_2.00	1.0	0.8064	1228.0	3581.0	9444.3	27536.0	-0.0001342979133356905	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF540	CIS-BP2.00|000701|M07634_2.00	1.0	0.8973	758.0	3581.0	5871.7	27536.0	-0.012883637966851838	FALSE	patient	TCGA-44-3918	TCGA-44-3918
E2F5	CIS-BP2.00|000940|M08109_2.00	1.0	1.0	3070.0	3581.0	23739.8	27536.0	-0.05885279545824771	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF254	CIS-BP2.00|000827|M07760_2.00	1.0	1.0	557.0	3581.0	4592.9	27536.0	-0.11919549933483492	FALSE	patient	TCGA-44-3918	TCGA-44-3918
CEBPB	JASPAR2024|000235|MA0466.4	1e-06	0.0	300.0	3584.0	1724.7	27463.0	0.44887239768392595	TRUE	patient	TCGA-44-6146	TCGA-44-6146
ETV1	JASPAR2024|000311|MA0761.3	0.01	0.0702	3569.0	3584.0	27259.7	27463.0	0.7838116911711022	FALSE	patient	TCGA-44-6146	TCGA-44-6146
NFATC4	JASPAR2024|000506|MA1525.3	0.01	0.0702	2557.0	3584.0	19082.0	27463.0	0.12862601963132203	FALSE	patient	TCGA-44-6146	TCGA-44-6146
XBP1	JASPAR2024|000675|MA0844.2	0.01	0.0702	1696.0	3584.0	12460.1	27463.0	0.11323658245165495	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXD2	JASPAR2024|000361|MA0847.4	0.1	0.1638	1365.0	3584.0	10068.5	27463.0	0.08794687480493232	FALSE	patient	TCGA-44-6146	TCGA-44-6146
CREB3L2	JASPAR2024|000025|MA0608.1	0.1	0.1819	1843.0	3584.0	13749.2	27463.0	0.07839778877863963	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ELF3	JASPAR2024|000276|MA0640.3	0.1	0.1819	3575.0	3584.0	27352.0	27463.0	0.6175165945065354	FALSE	patient	TCGA-44-6146	TCGA-44-6146
CEBPA	JASPAR2024|000234|MA0102.5	1.0	0.4124	2616.0	3584.0	19840.6	27463.0	0.05373414891784334	FALSE	patient	TCGA-44-6146	TCGA-44-6146
HNF4A	JASPAR2024|000409|MA1494.2	1.0	0.4124	422.0	3584.0	3089.7	27463.0	0.07551684028750262	FALSE	patient	TCGA-44-6146	TCGA-44-6146
NR3C2	JASPAR2024|000539|MA0727.2	1.0	0.4124	258.0	3584.0	1866.9	27463.0	0.09108044818563449	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF341	JASPAR2024|000712|MA1655.2	1.0	0.4609	3583.0	3584.0	27450.0	27463.0	0.23253383348101128	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXA2	JASPAR2024|000357|MA0047.4	1.0	0.546	2807.0	3584.0	21417.1	27463.0	0.027722946564663883	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXA3	JASPAR2024|000358|MA1683.2	1.0	0.6222	3177.0	3584.0	24303.8	27463.0	0.019668070106688182	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF75D	JASPAR2024|000169|MA1601.2	1.0	0.835	2489.0	3584.0	19103.8	27463.0	-0.008107790711874714	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXA1	JASPAR2024|000356|MA0148.5	1.0	0.9509	2867.0	3584.0	22055.4	27463.0	-0.02922814851163815	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ETV1	JASPAR2024|000652|MA1966.2	1.0	0.9937	3460.0	3584.0	26572.9	27463.0	-0.10229854951464887	FALSE	patient	TCGA-44-6146	TCGA-44-6146
HNF4A	JASPAR2024|000410|MA0114.5	1.0	0.9937	3433.0	3584.0	26379.6	27463.0	-0.10285620295545687	FALSE	patient	TCGA-44-6146	TCGA-44-6146
NKX2-1	JASPAR2024|000822|MA1994.2	1.0	0.9937	3404.0	3584.0	26169.6	27463.0	-0.10074921917414496	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF281	JASPAR2024|000706|MA1630.3	1.0	0.9937	2910.0	3584.0	22520.6	27463.0	-0.07847100084913279	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZBTB18	JASPAR2024|000681|MA0698.2	1.0	0.9937	2009.0	3584.0	15720.0	27463.0	-0.06975783172931367	FALSE	patient	TCGA-44-6146	TCGA-44-6146
GATA6	JASPAR2024|000382|MA1104.3	1.0	0.9937	2906.0	3584.0	22547.3	27463.0	-0.09850897457782437	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF444	CIS-BP2.00|000420|M04529_2.00	0.0001	0.0004	1383.0	3584.0	9728.9	27468.0	0.19638653552815855	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF33A	CIS-BP2.00|000762|M07695_2.00	0.1	0.1154	3299.0	3584.0	25063.5	27468.0	0.1491768913374421	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF141	CIS-BP2.00|000653|M07586_2.00	0.1	0.1318	2623.0	3584.0	19775.9	27468.0	0.08589739663438226	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF19	CIS-BP2.00|000670|M07603_2.00	1.0	0.216	3570.0	3584.0	27319.5	27468.0	0.42542806505416686	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF33B	CIS-BP2.00|000777|M07710_2.00	1.0	0.2951	1257.0	3584.0	9423.4	27468.0	0.04898823497838044	FALSE	patient	TCGA-44-6146	TCGA-44-6146
E2F5	CIS-BP2.00|000940|M08109_2.00	1.0	0.5469	3093.0	3584.0	23635.3	27468.0	0.029624194786044823	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF540	CIS-BP2.00|000701|M07634_2.00	1.0	0.7045	773.0	3584.0	5903.6	27468.0	0.0070291137855549145	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF254	CIS-BP2.00|000827|M07760_2.00	1.0	1.0	538.0	3584.0	4482.0	27468.0	-0.141723165387333	FALSE	patient	TCGA-44-6146	TCGA-44-6146
CEBPB	JASPAR2024|000235|MA0466.4	1e-06	0.0	302.0	3582.0	1730.8	27473.0	0.45532706170698295	TRUE	patient	TCGA-44-A47F	TCGA-44-A47F
XBP1	JASPAR2024|000675|MA0844.2	0.001	0.0014	1745.0	3582.0	12538.2	27473.0	0.17823454507771241	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ELF3	JASPAR2024|000276|MA0640.3	0.01	0.0252	3579.0	3582.0	27361.7	27473.0	2.0630672089672304	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
NFATC4	JASPAR2024|000506|MA1525.3	0.1	0.2728	2532.0	3582.0	19062.3	27473.0	0.08910961005745036	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
CREB3L2	JASPAR2024|000025|MA0608.1	0.1	0.4055	1834.0	3582.0	13756.8	27473.0	0.06500518911446941	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXD2	JASPAR2024|000361|MA0847.4	1.0	0.4136	1338.0	3582.0	9991.6	27473.0	0.061225213232714494	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
HNF4A	JASPAR2024|000410|MA0114.5	1.0	0.467	3453.0	3582.0	26374.2	27473.0	0.15253759466026287	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ETV1	JASPAR2024|000311|MA0761.3	1.0	0.4919	3562.0	3582.0	27265.3	27473.0	0.4081436871868585	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF75D	JASPAR2024|000169|MA1601.2	1.0	0.5312	2508.0	3582.0	19063.7	27473.0	0.04243685964075789	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
NKX2-1	JASPAR2024|000822|MA1994.2	1.0	0.6731	3418.0	3582.0	26150.1	27473.0	0.07268097794925579	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF281	JASPAR2024|000706|MA1630.3	1.0	0.6731	2936.0	3582.0	22433.7	27473.0	0.029114011929784692	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXA1	JASPAR2024|000356|MA0148.5	1.0	0.7475	2878.0	3582.0	22024.0	27473.0	0.0157321047264228	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ETV1	JASPAR2024|000652|MA1966.2	1.0	0.872	3465.0	3582.0	26564.9	27473.0	0.012571536270325668	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
NR3C2	JASPAR2024|000539|MA0727.2	1.0	0.872	240.0	3582.0	1852.9	27473.0	-0.0077606810696119	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXA2	JASPAR2024|000357|MA0047.4	1.0	0.872	2780.0	3582.0	21356.9	27473.0	-0.01116314952982306	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
CEBPA	JASPAR2024|000234|MA0102.5	1.0	0.872	2575.0	3582.0	19792.6	27473.0	-0.011577612033424743	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZBTB18	JASPAR2024|000681|MA0698.2	1.0	0.872	2028.0	3582.0	15621.2	27473.0	-0.01442172582490682	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
HNF4A	JASPAR2024|000409|MA1494.2	1.0	0.872	398.0	3582.0	3128.7	27473.0	-0.03866736935528967	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXA3	JASPAR2024|000358|MA1683.2	1.0	0.935	3146.0	3582.0	24262.0	27473.0	-0.06771462743911136	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF341	JASPAR2024|000712|MA1655.2	1.0	1.0	3579.0	3582.0	27454.8	27473.0	-0.5216432477315116	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
GATA6	JASPAR2024|000382|MA1104.3	1.0	1.0	2894.0	3582.0	22569.0	27473.0	-0.13041089027817795	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF444	CIS-BP2.00|000420|M04529_2.00	1e-05	0.0	1390.0	3586.0	9610.8	27442.0	0.23203801073657768	TRUE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF141	CIS-BP2.00|000653|M07586_2.00	0.1	0.1872	2620.0	3586.0	19742.8	27442.0	0.08051146269498706	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF19	CIS-BP2.00|000670|M07603_2.00	1.0	0.4569	3569.0	3586.0	27329.0	27442.0	-0.23939968820502283	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF33A	CIS-BP2.00|000762|M07695_2.00	1.0	0.5882	3269.0	3586.0	24991.3	27442.0	0.014346820483711619	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
E2F5	CIS-BP2.00|000940|M08109_2.00	1.0	0.8838	3080.0	3586.0	23653.9	27442.0	-0.037841472060734085	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF33B	CIS-BP2.00|000777|M07710_2.00	1.0	0.952	1206.0	3586.0	9401.9	27442.0	-0.040290354897693406	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF540	CIS-BP2.00|000701|M07634_2.00	1.0	1.0	733.0	3586.0	5909.9	27442.0	-0.09466883721653147	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF254	CIS-BP2.00|000827|M07760_2.00	1.0	1.0	482.0	3586.0	4524.2	27442.0	-0.34515409610133807	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
CREB3L2	JASPAR2024|000025|MA0608.1	0.0001	0.0002	1914.0	3584.0	13716.4	27521.0	0.20593454461934796	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
XBP1	JASPAR2024|000675|MA0844.2	0.001	0.0024	1723.0	3584.0	12423.1	27521.0	0.17018807017683343	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
FOXD2	JASPAR2024|000361|MA0847.4	0.001	0.0041	1403.0	3584.0	10048.7	27521.0	0.16173875202254162	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
CEBPB	JASPAR2024|000235|MA0466.4	0.01	0.0118	264.0	3584.0	1701.9	27521.0	0.27276381825774837	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ELF3	JASPAR2024|000276|MA0640.3	0.1	0.1183	3577.0	3584.0	27412.2	27521.0	0.9274382345613118	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
NFATC4	JASPAR2024|000506|MA1525.3	0.1	0.1349	2537.0	3584.0	19104.2	27521.0	0.0939594173466177	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ETV1	JASPAR2024|000311|MA0761.3	0.1	0.1349	3567.0	3584.0	27323.7	27521.0	0.5614216765597702	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ZNF341	JASPAR2024|000712|MA1655.2	0.1	0.1939	3584.0	3584.0	27501.7	27521.0	2.3677252928774735	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
FOXA1	JASPAR2024|000356|MA0148.5	1.0	0.3743	2905.0	3584.0	22122.8	27521.0	0.06135835386740883	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
NR3C2	JASPAR2024|000539|MA0727.2	1.0	0.3801	258.0	3584.0	1872.0	27521.0	0.09012423098401075	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
CEBPA	JASPAR2024|000234|MA0102.5	1.0	0.3801	2607.0	3584.0	19833.6	27521.0	0.0481771861052525	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ZBTB18	JASPAR2024|000681|MA0698.2	1.0	0.3801	2075.0	3584.0	15747.2	27521.0	0.0398883331160532	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
NKX2-1	JASPAR2024|000822|MA1994.2	1.0	0.3964	3422.0	3584.0	26205.7	27521.0	0.0806428686965273	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
FOXA3	JASPAR2024|000358|MA1683.2	1.0	0.4693	3182.0	3584.0	24358.6	27521.0	0.03795884371078401	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
HNF4A	JASPAR2024|000409|MA1494.2	1.0	0.4693	414.0	3584.0	3111.2	27521.0	0.03644877434006809	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
FOXA2	JASPAR2024|000357|MA0047.4	1.0	0.4773	2806.0	3584.0	21476.9	27521.0	0.020902537757270037	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
HNF4A	JASPAR2024|000410|MA0114.5	1.0	0.618	3444.0	3584.0	26441.7	27521.0	0.0016463549298417514	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ZNF75D	JASPAR2024|000169|MA1601.2	1.0	0.7313	2494.0	3584.0	19215.6	27521.0	-0.01634625709020972	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ZNF281	JASPAR2024|000706|MA1630.3	1.0	0.7926	2927.0	3584.0	22574.0	27521.0	-0.035316050379396745	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
GATA6	JASPAR2024|000382|MA1104.3	1.0	0.9098	2922.0	3584.0	22629.4	27521.0	-0.06849374478495665	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ETV1	JASPAR2024|000652|MA1966.2	1.0	0.9098	3454.0	3584.0	26616.5	27521.0	-0.15193117200167763	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ZNF444	CIS-BP2.00|000420|M04529_2.00	1e-05	0.0	1412.0	3581.0	9819.4	27552.0	0.2335528052418312	TRUE	patient	TCGA-49-AARO	TCGA-49-AARO
ZNF33A	CIS-BP2.00|000762|M07695_2.00	1.0	0.3516	3283.0	3581.0	25053.4	27552.0	0.13387695777193034	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ZNF141	CIS-BP2.00|000653|M07586_2.00	1.0	0.4389	2603.0	3581.0	19787.0	27552.0	0.06237002443362352	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ZNF19	CIS-BP2.00|000670|M07603_2.00	1.0	0.5243	3569.0	3581.0	27376.3	27552.0	0.8780540076104515	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ZNF33B	CIS-BP2.00|000777|M07710_2.00	1.0	0.8996	1230.0	3581.0	9429.3	27552.0	0.008201961368456627	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ZNF540	CIS-BP2.00|000701|M07634_2.00	1.0	1.0	748.0	3581.0	5914.4	27552.0	-0.04936283962825949	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
E2F5	CIS-BP2.00|000940|M08109_2.00	1.0	1.0	3063.0	3581.0	23668.8	27552.0	-0.04474841516452607	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
ZNF254	CIS-BP2.00|000827|M07760_2.00	1.0	1.0	529.0	3581.0	4540.6	27552.0	-0.18602231182843773	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
FOXD2	JASPAR2024|000361|MA0847.4	1e-05	0.0002	1437.0	3584.0	10072.4	27535.0	0.21473441274749913	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
XBP1	JASPAR2024|000675|MA0844.2	0.001	0.0015	1727.0	3584.0	12433.2	27535.0	0.17583610581881395	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
CEBPB	JASPAR2024|000235|MA0466.4	0.001	0.0015	277.0	3584.0	1719.1	27535.0	0.332961435791596	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
NFATC4	JASPAR2024|000506|MA1525.3	0.01	0.0109	2554.0	3584.0	19010.1	27535.0	0.15273179486482916	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
CREB3L2	JASPAR2024|000025|MA0608.1	0.1	0.0445	1856.0	3584.0	13724.7	27535.0	0.11203443074616289	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
FOXA1	JASPAR2024|000356|MA0148.5	0.1	0.3061	2910.0	3584.0	22103.9	27535.0	0.08449223890606193	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ELF3	JASPAR2024|000276|MA0640.3	1.0	0.7452	3572.0	3584.0	27415.8	27535.0	0.3193951851192144	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ZBTB18	JASPAR2024|000681|MA0698.2	1.0	0.7452	2079.0	3584.0	15821.5	27535.0	0.032295799445479625	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
FOXA2	JASPAR2024|000357|MA0047.4	1.0	0.7452	2809.0	3584.0	21481.7	27535.0	0.029885884713378802	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ETV1	JASPAR2024|000311|MA0761.3	1.0	0.8837	3559.0	3584.0	27327.5	27535.0	0.08738100246421028	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
FOXA3	JASPAR2024|000358|MA1683.2	1.0	0.8837	3173.0	3584.0	24343.3	27535.0	0.016179068783737593	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
CEBPA	JASPAR2024|000234|MA0102.5	1.0	0.8883	2589.0	3584.0	19888.8	27535.0	9.701532536674986e-05	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
NR3C2	JASPAR2024|000539|MA0727.2	1.0	0.8883	242.0	3584.0	1862.2	27535.0	-6.940128010370765e-05	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
HNF4A	JASPAR2024|000410|MA0114.5	1.0	0.8883	3444.0	3584.0	26459.4	27535.0	-0.004271010529285716	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ZNF75D	JASPAR2024|000169|MA1601.2	1.0	0.8883	2490.0	3584.0	19164.6	27535.0	-0.008863421338666187	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
NKX2-1	JASPAR2024|000822|MA1994.2	1.0	0.8883	3410.0	3584.0	26235.8	27535.0	-0.0466293954369467	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
HNF4A	JASPAR2024|000409|MA1494.2	1.0	0.9714	390.0	3584.0	3108.1	27535.0	-0.05803226627228391	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ZNF341	JASPAR2024|000712|MA1655.2	1.0	1.0	3580.0	3584.0	27512.8	27535.0	-0.6072008265341549	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
GATA6	JASPAR2024|000382|MA1104.3	1.0	1.0	2921.0	3584.0	22662.9	27535.0	-0.07905969504804265	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ETV1	JASPAR2024|000652|MA1966.2	1.0	1.0	3448.0	3584.0	26623.6	27535.0	-0.20871721114218988	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ZNF281	JASPAR2024|000706|MA1630.3	1.0	1.0	2900.0	3584.0	22604.8	27535.0	-0.11361750907290166	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ZNF444	CIS-BP2.00|000420|M04529_2.00	0.0001	0.0006	1388.0	3584.0	9816.8	27536.0	0.19027664912101386	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ZNF19	CIS-BP2.00|000670|M07603_2.00	0.1	0.1228	3572.0	3584.0	27385.5	27536.0	0.6561159046353235	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ZNF540	CIS-BP2.00|000701|M07634_2.00	1.0	0.7329	772.0	3584.0	5863.8	27536.0	0.02160182395339142	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ZNF33A	CIS-BP2.00|000762|M07695_2.00	1.0	0.8758	3269.0	3584.0	25098.3	27536.0	0.009628100822192266	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ZNF141	CIS-BP2.00|000653|M07586_2.00	1.0	1.0	2557.0	3584.0	19824.1	27536.0	-0.04644412764990806	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
E2F5	CIS-BP2.00|000940|M08109_2.00	1.0	1.0	3041.0	3584.0	23647.8	27536.0	-0.11994556760069074	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ZNF33B	CIS-BP2.00|000777|M07710_2.00	1.0	1.0	1169.0	3584.0	9419.1	27536.0	-0.1027917624848634	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
ZNF254	CIS-BP2.00|000827|M07760_2.00	1.0	1.0	534.0	3584.0	4553.2	27536.0	-0.17730907323677486	FALSE	patient	TCGA-4B-A93V	TCGA-4B-A93V
CEBPB	JASPAR2024|000235|MA0466.4	1e-06	0.0	296.0	3584.0	1719.5	27556.0	0.43763243432532944	TRUE	patient	TCGA-73-A9RS	TCGA-73-A9RS
FOXD2	JASPAR2024|000361|MA0847.4	0.0001	0.0005	1422.0	3584.0	10062.4	27556.0	0.19355083404590104	FALSE	patient	TCGA-73-A9RS	TCGA-73-A9RS
CREB3L2	JASPAR2024|000025|MA0608.1	0.01	0.031	1859.0	3584.0	13688.4	27556.0	0.12666389834674005	FALSE	patient	TCGA-73-A9RS	TCGA-73-A9RS
NFATC4	JASPAR2024|000506|MA1525.3	0.1	0.3622	2538.0	3584.0	19198.7	27556.0	0.07855289193873399	FALSE	patient	TCGA-73-A9RS	TCGA-73-A9RS
