data_id	route_id	requirement_id	name	accession	uri	source	disease	tissue	modality	subjects	biological_unit	fields_checked	contract_match	access	verification	independence	decision	checked_at	checksum	notes
SPP-DATA-R05-01	SPP-R05	SPP-DREQ-R05-01	Single-cell analyses reveal phenotypic linkage between CRC and liver metastasis	GSE164522	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164522	NCBI GEO	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent liver	scRNA-seq	17	patient or donor	subject_count;study_design;tissue_types;processed_file_list;metadata_file	unknown	public	metadata_checked	not_applicable	candidate	2026-08-07		Preferred bounded reproduction cohort; no claim of readiness until a representative matrix and metadata file are parsed.
SPP-DATA-R08-01	SPP-R08	SPP-DREQ-R08-01	Single-cell analyses reveal phenotypic linkage between CRC and liver metastasis	GSE164522	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164522	NCBI GEO	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent tissues	scRNA-seq	17	patient or donor	subject_count;study_design;tissue_types;processed_file_list;metadata_file	unknown	public	metadata_checked	not_applicable	candidate	2026-08-08		Shared first-spike candidate for R05 training R08 target precheck and R02 source coverage; no field-level readiness claim until representative files are parsed.
SPP-DATA-R08-02	SPP-R08	SPP-DREQ-R08-02	Single-cell atlas of CRC liver metastases and preoperative chemotherapy	GSE178318	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178318	NCBI GEO	colorectal cancer liver metastasis	paired primary CRC;CRLM;PBMC	scRNA-seq	6	patient or donor	subject_ids;sample_list;tissue_types;treatment_context;processed_file_list	unknown	public	metadata_checked	independent	candidate	2026-08-08		Six-patient external-direction candidate; program genes and thresholds must be locked before effect inspection.
SPP-DATA-R08-03	SPP-R08	SPP-DREQ-R08-02	Single-cell and spatial transcriptome analysis of liver metastatic CRC	GSE225857	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225857	NCBI GEO	colorectal cancer liver metastasis	primary CRC;normal colon;CRLM;normal liver;PBMC	scRNA-seq	6	patient or donor	subject_count;study_design;treatment;processed_file_list;raw_archive	unknown	public	metadata_checked	independent	candidate	2026-08-08		All patients received preoperative treatment; useful for independent direction only with treatment context explicit.
SPP-DATA-R08-04	SPP-R08	SPP-DREQ-R08-03	Spatial transcriptomics of four CRC liver metastases	GSE217414	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217414	NCBI GEO	colorectal cancer liver metastasis	CRLM	Visium spatial transcriptomics	4	patient or donor	subject_count;sample_list;tissue;treatment;processed_file_list;raw_access	unknown	public	metadata_checked	independent	candidate	2026-08-08		All four patients received neoadjuvant chemotherapy; processed data are public but donor coordinates histology and program contract remain unparsed.
SPP-DATA-R11-01	SPP-R11	SPP-DREQ-R11-01	Single-cell analyses reveal phenotypic linkage between CRC and liver metastasis	GSE164522	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164522	NCBI GEO	colorectal cancer and colorectal liver metastasis	primary CRC;CRLM;adjacent tissues	scRNA-seq	17	patient or donor	subject_count;study_design;tissue_types;processed_file_list;metadata_file	unknown	public	metadata_checked	not_applicable	candidate	2026-08-08		Candidate for transcriptional SPP1-versus-lipid-handling program comparison; donor fields and TREM2 APOE GPNMB coverage remain unparsed.
SPP-DATA-R11-02	SPP-R11	SPP-DREQ-R11-02	Spatial transcriptomics of four CRC liver metastases	GSE217414	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE217414	NCBI GEO	colorectal cancer liver metastasis	CRLM	Visium spatial transcriptomics	4	patient or donor	subject_count;sample_list;tissue;treatment;processed_file_list;raw_access	unknown	public	metadata_checked	independent	candidate	2026-08-08		Can test spatial program association only; all patients had neoadjuvant chemotherapy and source-mixture fields require parsing.
SPP-DATA-R12-01	SPP-R12	SPP-DREQ-R12-01	Single-cell profiling reveals altered immune landscape and impaired NK cell function in gastric cancer liver metastasis	GSE246662	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246662	NCBI GEO	gastric cancer liver metastasis	3 primary gastric cancers;3 paired liver metastases;3 healthy livers	scRNA-seq	3 paired cancer cases plus 3 healthy donors	patient or donor	study_design;sample_list;pair_labels;processed_archive;raw_access	unknown	public	metadata_checked	not_applicable	candidate	2026-08-08		Official GEO provides a 197.1 MB CSV archive and SRA; cell-level donor mapping NK annotations and treatment fields remain unparsed.
SPP-DATA-R12-02	SPP-R12	SPP-DREQ-R12-02	Transcriptional heterogeneity in primary and metastatic gastric cancer	GSE163558	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163558	NCBI GEO	metastatic gastric cancer	primary;adjacent;liver;lymph node;ovary;peritoneum	scRNA-seq	6	patient or donor	subject_count;sample_list;tissue_types;processed_archive;raw_access	unknown	public	metadata_checked	independent	candidate	2026-08-08		Ten samples from six patients include two liver metastases; exact patient pairing NK coverage and independence from GSE246662 require file parsing.
SPP-DATA-R13-01	SPP-R13	SPP-DREQ-R13-01	Atlas of metastatic gastric cancer links ferroptosis to disease progression and immunotherapy response	GSE239676	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239676	NCBI GEO	metastatic gastric adenocarcinoma	primary;liver;peritoneal;ovarian;normal;blood	scRNA-seq plus immune repertoire	20	patient or donor	subject_count;study_design;tissue_types;treatment_naive;sample_list;raw_access	unknown	public	metadata_checked	not_applicable	candidate	2026-08-08		GEO lists 68 samples from 20 treatment-naive patients and states raw data are unavailable for privacy; processed expression metadata and clonotype files require real verification.
SPP-DATA-R14-01	SPP-R14	SPP-DREQ-R14-01	Transcriptional heterogeneity in primary and metastatic gastric cancer	GSE163558	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE163558	NCBI GEO	metastatic gastric cancer	primary and multiple metastatic sites	scRNA-seq	6	patient or donor	subject_count;sample_list;tissue_types;processed_archive;raw_access	unknown	public	metadata_checked	not_applicable	candidate	2026-08-08		Candidate only for independent program definition; no GSE237876 route labels may influence feature selection.
SPP-DATA-R14-02	SPP-R14	SPP-DREQ-R14-02	Metastatic route-specific gastric cancer whole transcriptomes	GSE237876	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237876	NCBI GEO	metastatic gastric cancer	primary;liver;peritoneal;ovarian;lung metastases	bulk whole-transcriptome RNA-seq	14	patient	patient_count;sample_count;tissue_routes;sample_titles;processed_archive;raw_access	unknown	public	metadata_checked	independent	candidate	2026-08-08		Official GEO confirms 66 bulk samples from 14 patients with repeated regions and metastases. It is not single-cell and must be modeled with patient as the unit.
SPP-DATA-R15-01	SPP-R15	SPP-DREQ-R15-01	Single-cell transcriptome analysis of PDAC primary and liver metastasis	GSE263733	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE263733	NCBI GEO	pancreatic ductal adenocarcinoma liver metastasis	primary PDAC;normal pancreas;liver metastasis	scRNA-seq	unknown	patient or donor	study_design;treatment_naive;sample_rows;bioproject	unknown	public	metadata_checked	not_applicable	candidate	2026-08-08		The 218 GEO sample rows include lane-level records; biological patient count pairing processed-file availability and macrophage coverage are not yet parsed.
