provisional_program_family	member	run	k	program	direct_independent_holdout_match	members	runs	k_values	contains_holdout_A	contains_holdout_B	pooled_seed_members	replicates_across_independent_holdouts	contains_both_holdouts
PF002	seed_20260811|K5|P1	seed_20260811	5	1	True	89	4	6	True	True	39	True	True
PF005	seed_20260811|K5|P2	seed_20260811	5	2	True	53	4	6	True	True	29	True	True
PF004	seed_20260811|K5|P3	seed_20260811	5	3	True	33	4	6	True	True	21	True	True
PF002	seed_20260811|K5|P4	seed_20260811	5	4	True	89	4	6	True	True	39	True	True
PF005	seed_20260811|K5|P5	seed_20260811	5	5	True	53	4	6	True	True	29	True	True
PF002	seed_20260811|K6|P1	seed_20260811	6	1	True	89	4	6	True	True	39	True	True
PF005	seed_20260811|K6|P2	seed_20260811	6	2	True	53	4	6	True	True	29	True	True
PF002	seed_20260811|K6|P3	seed_20260811	6	3	True	89	4	6	True	True	39	True	True
PF004	seed_20260811|K6|P4	seed_20260811	6	4	True	33	4	6	True	True	21	True	True
PF004	seed_20260811|K6|P5	seed_20260811	6	5	True	33	4	6	True	True	21	True	True
PF005	seed_20260811|K6|P6	seed_20260811	6	6	True	53	4	6	True	True	29	True	True
PF002	seed_20260811|K7|P1	seed_20260811	7	1	True	89	4	6	True	True	39	True	True
PF005	seed_20260811|K7|P2	seed_20260811	7	2	True	53	4	6	True	True	29	True	True
PF004	seed_20260811|K7|P3	seed_20260811	7	3	True	33	4	6	True	True	21	True	True
PF002	seed_20260811|K7|P4	seed_20260811	7	4	True	89	4	6	True	True	39	True	True
PF002	seed_20260811|K7|P5	seed_20260811	7	5	True	89	4	6	True	True	39	True	True
PF004	seed_20260811|K7|P6	seed_20260811	7	6	True	33	4	6	True	True	21	True	True
PF005	seed_20260811|K7|P7	seed_20260811	7	7	True	53	4	6	True	True	29	True	True
PF002	seed_20260811|K8|P1	seed_20260811	8	1	True	89	4	6	True	True	39	True	True
PF005	seed_20260811|K8|P2	seed_20260811	8	2	True	53	4	6	True	True	29	True	True
PF004	seed_20260811|K8|P3	seed_20260811	8	3	True	33	4	6	True	True	21	True	True
PF002	seed_20260811|K8|P4	seed_20260811	8	4	True	89	4	6	True	True	39	True	True
PF002	seed_20260811|K8|P5	seed_20260811	8	5	True	89	4	6	True	True	39	True	True
PF004	seed_20260811|K8|P6	seed_20260811	8	6	True	33	4	6	True	True	21	True	True
PF005	seed_20260811|K8|P7	seed_20260811	8	7	True	53	4	6	True	True	29	True	True
PF002	seed_20260811|K8|P8	seed_20260811	8	8	True	89	4	6	True	True	39	True	True
PF002	seed_20260811|K9|P1	seed_20260811	9	1	True	89	4	6	True	True	39	True	True
PF004	seed_20260811|K9|P2	seed_20260811	9	2	True	33	4	6	True	True	21	True	True
PF005	seed_20260811|K9|P3	seed_20260811	9	3	True	53	4	6	True	True	29	True	True
PF002	seed_20260811|K9|P4	seed_20260811	9	4	True	89	4	6	True	True	39	True	True
PF005	seed_20260811|K9|P5	seed_20260811	9	5	True	53	4	6	True	True	29	True	True
PF002	seed_20260811|K9|P6	seed_20260811	9	6	True	89	4	6	True	True	39	True	True
PF004	seed_20260811|K9|P7	seed_20260811	9	7	True	33	4	6	True	True	21	True	True
PF005	seed_20260811|K9|P8	seed_20260811	9	8	True	53	4	6	True	True	29	True	True
PF002	seed_20260811|K9|P9	seed_20260811	9	9	True	89	4	6	True	True	39	True	True
PF002	holdout_A|K10|P1	holdout_A	10	1	True	89	4	6	True	True	39	True	True
PF004	holdout_A|K10|P2	holdout_A	10	2	True	33	4	6	True	True	21	True	True
PF002	holdout_A|K10|P3	holdout_A	10	3	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K10|P4	holdout_A	10	4	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K10|P5	holdout_A	10	5	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K10|P6	holdout_A	10	6	True	53	4	6	True	True	29	True	True
PF005	holdout_A|K10|P7	holdout_A	10	7	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K10|P8	holdout_A	10	8	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K10|P9	holdout_A	10	9	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K10|P10	holdout_A	10	10	True	89	4	6	True	True	39	True	True
PF002	holdout_A|K5|P1	holdout_A	5	1	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K5|P2	holdout_A	5	2	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K5|P3	holdout_A	5	3	True	89	4	6	True	True	39	True	True
PF004	holdout_A|K5|P4	holdout_A	5	4	True	33	4	6	True	True	21	True	True
PF005	holdout_A|K5|P5	holdout_A	5	5	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K6|P1	holdout_A	6	1	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K6|P2	holdout_A	6	2	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K6|P3	holdout_A	6	3	True	89	4	6	True	True	39	True	True
PF004	holdout_A|K6|P4	holdout_A	6	4	True	33	4	6	True	True	21	True	True
PF005	holdout_A|K6|P5	holdout_A	6	5	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K6|P6	holdout_A	6	6	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K7|P1	holdout_A	7	1	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K7|P2	holdout_A	7	2	True	89	4	6	True	True	39	True	True
PF004	holdout_A|K7|P3	holdout_A	7	3	True	33	4	6	True	True	21	True	True
PF002	holdout_A|K7|P4	holdout_A	7	4	True	89	4	6	True	True	39	True	True
PF002	holdout_A|K7|P5	holdout_A	7	5	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K7|P6	holdout_A	7	6	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K7|P7	holdout_A	7	7	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K8|P1	holdout_A	8	1	True	53	4	6	True	True	29	True	True
PF004	holdout_A|K8|P2	holdout_A	8	2	True	33	4	6	True	True	21	True	True
PF002	holdout_A|K8|P3	holdout_A	8	3	True	89	4	6	True	True	39	True	True
PF002	holdout_A|K8|P4	holdout_A	8	4	True	89	4	6	True	True	39	True	True
PF002	holdout_A|K8|P5	holdout_A	8	5	True	89	4	6	True	True	39	True	True
PF002	holdout_A|K8|P6	holdout_A	8	6	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K8|P7	holdout_A	8	7	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K8|P8	holdout_A	8	8	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K9|P1	holdout_A	9	1	True	53	4	6	True	True	29	True	True
PF004	holdout_A|K9|P2	holdout_A	9	2	True	33	4	6	True	True	21	True	True
PF002	holdout_A|K9|P3	holdout_A	9	3	True	89	4	6	True	True	39	True	True
PF002	holdout_A|K9|P4	holdout_A	9	4	True	89	4	6	True	True	39	True	True
PF002	holdout_A|K9|P5	holdout_A	9	5	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K9|P6	holdout_A	9	6	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K9|P7	holdout_A	9	7	True	89	4	6	True	True	39	True	True
PF005	holdout_A|K9|P8	holdout_A	9	8	True	53	4	6	True	True	29	True	True
PF002	holdout_A|K9|P9	holdout_A	9	9	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K10|P1	holdout_B	10	1	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K10|P2	holdout_B	10	2	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K10|P3	holdout_B	10	3	True	89	4	6	True	True	39	True	True
PF004	holdout_B|K10|P4	holdout_B	10	4	True	33	4	6	True	True	21	True	True
PF002	holdout_B|K10|P5	holdout_B	10	5	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K10|P6	holdout_B	10	6	True	89	4	6	True	True	39	True	True
PF005	holdout_B|K10|P7	holdout_B	10	7	True	53	4	6	True	True	29	True	True
PF005	holdout_B|K10|P8	holdout_B	10	8	True	53	4	6	True	True	29	True	True
PF001	holdout_B|K10|P9	holdout_B	10	9	False	1	1	1	False	True	0	False	False
PF003	holdout_B|K10|P10	holdout_B	10	10	False	3	1	3	False	True	0	False	False
PF002	holdout_B|K5|P1	holdout_B	5	1	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K5|P2	holdout_B	5	2	True	89	4	6	True	True	39	True	True
PF004	holdout_B|K5|P3	holdout_B	5	3	True	33	4	6	True	True	21	True	True
PF005	holdout_B|K5|P4	holdout_B	5	4	True	53	4	6	True	True	29	True	True
PF002	holdout_B|K5|P5	holdout_B	5	5	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K6|P1	holdout_B	6	1	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K6|P2	holdout_B	6	2	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K6|P3	holdout_B	6	3	True	89	4	6	True	True	39	True	True
PF004	holdout_B|K6|P4	holdout_B	6	4	True	33	4	6	True	True	21	True	True
PF005	holdout_B|K6|P5	holdout_B	6	5	True	53	4	6	True	True	29	True	True
PF002	holdout_B|K6|P6	holdout_B	6	6	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K7|P1	holdout_B	7	1	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K7|P2	holdout_B	7	2	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K7|P3	holdout_B	7	3	True	89	4	6	True	True	39	True	True
PF004	holdout_B|K7|P4	holdout_B	7	4	True	33	4	6	True	True	21	True	True
PF002	holdout_B|K7|P5	holdout_B	7	5	True	89	4	6	True	True	39	True	True
PF005	holdout_B|K7|P6	holdout_B	7	6	True	53	4	6	True	True	29	True	True
PF005	holdout_B|K7|P7	holdout_B	7	7	True	53	4	6	True	True	29	True	True
PF002	holdout_B|K8|P1	holdout_B	8	1	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K8|P2	holdout_B	8	2	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K8|P3	holdout_B	8	3	True	89	4	6	True	True	39	True	True
PF004	holdout_B|K8|P4	holdout_B	8	4	True	33	4	6	True	True	21	True	True
PF005	holdout_B|K8|P5	holdout_B	8	5	True	53	4	6	True	True	29	True	True
PF002	holdout_B|K8|P6	holdout_B	8	6	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K8|P7	holdout_B	8	7	True	89	4	6	True	True	39	True	True
PF003	holdout_B|K8|P8	holdout_B	8	8	False	3	1	3	False	True	0	False	False
PF002	holdout_B|K9|P1	holdout_B	9	1	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K9|P2	holdout_B	9	2	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K9|P3	holdout_B	9	3	True	89	4	6	True	True	39	True	True
PF004	holdout_B|K9|P4	holdout_B	9	4	True	33	4	6	True	True	21	True	True
PF002	holdout_B|K9|P5	holdout_B	9	5	True	89	4	6	True	True	39	True	True
PF002	holdout_B|K9|P6	holdout_B	9	6	True	89	4	6	True	True	39	True	True
PF005	holdout_B|K9|P7	holdout_B	9	7	True	53	4	6	True	True	29	True	True
PF005	holdout_B|K9|P8	holdout_B	9	8	True	53	4	6	True	True	29	True	True
PF003	holdout_B|K9|P9	holdout_B	9	9	False	3	1	3	False	True	0	False	False
