TF	motif_token	p_value	q_value	target_with_motif	target_total	background_with_motif	background_total	log2_odds_ratio	motif_enriched_q1e-5	system	sample_id	sample_slug
ELF3	JASPAR2024|000276|MA0640.3	1.0	0.9848	3569.0	3581.0	27469.8	27536.0	-0.5283200923976048	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA3	JASPAR2024|000358|MA1683.2	1.0	0.9869	3161.0	3581.0	24385.5	27536.0	-0.04173996099053343	FALSE	patient	TCGA-44-3918	TCGA-44-3918
FOXA1	JASPAR2024|000356|MA0148.5	1.0	0.9869	2864.0	3581.0	22117.5	27536.0	-0.03188978397990201	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZBTB18	JASPAR2024|000681|MA0698.2	1.0	1.0	2033.0	3581.0	15804.2	27536.0	-0.036774175899995896	FALSE	patient	TCGA-44-3918	TCGA-44-3918
E2F5	CIS-BP2.00|000940|M08109_2.00	1.0	1.0	3070.0	3581.0	23739.8	27536.0	-0.05885279545824771	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NFATC4	CIS-BP2.00|000101|M01306_2.00	1.0	1.0	3584.0	3581.0	27579.9	27536.0	-2.9437995831766384	FALSE	patient	TCGA-44-3918	TCGA-44-3918
NR3C2	CIS-BP2.00|000154|M02395_2.00	1.0	1.0	3584.0	3581.0	27579.9	27536.0	-2.9437995831766384	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ETV1	JASPAR2024|000652|MA1966.2	1.0	1.0	3454.0	3581.0	26676.2	27536.0	-0.1946888035481033	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF281	JASPAR2024|000706|MA1630.3	1.0	1.0	2914.0	3581.0	22659.4	27536.0	-0.08963737591764405	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF341	CIS-BP2.00|001017|M08310_2.00	1.0	1.0	3576.0	3581.0	27539.7	27536.0	-6.404350308522135	FALSE	patient	TCGA-44-3918	TCGA-44-3918
HNF4A	JASPAR2024|000410|MA0114.5	1.0	1.0	3427.0	3581.0	26514.6	27536.0	-0.22601033617543312	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF341	JASPAR2024|000712|MA1655.2	1.0	1.0	3579.0	3581.0	27559.8	27536.0	-5.266689702262406	FALSE	patient	TCGA-44-3918	TCGA-44-3918
GATA6	JASPAR2024|000382|MA1104.3	1.0	1.0	2912.0	3581.0	22704.3	27536.0	-0.11114316669264569	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF254	CIS-BP2.00|000827|M07760_2.00	1.0	1.0	557.0	3581.0	4592.9	27536.0	-0.11919549933483492	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ZNF281	CIS-BP2.00|001020|M08321_2.00	1.0	1.0	2899.0	3581.0	22631.5	27536.0	-0.11913585316447463	FALSE	patient	TCGA-44-3918	TCGA-44-3918
GATA6	CIS-BP2.00|000947|M08124_2.00	1.0	1.0	2619.0	3581.0	20629.9	27536.0	-0.13429120090440108	FALSE	patient	TCGA-44-3918	TCGA-44-3918
HNF4A	CIS-BP2.00|000974|M08219_2.00	1.0	1.0	3246.0	3581.0	25333.8	27536.0	-0.24924650562759246	FALSE	patient	TCGA-44-3918	TCGA-44-3918
ELF3	CIS-BP2.00|000227|M03002_2.00	1e-11	0.0	1555.0	3584.0	10360.9	27468.0	0.3396724866555462	TRUE	patient	TCGA-44-6146	TCGA-44-6146
FOXA3	CIS-BP2.00|000469|M04831_2.00	1e-09	0.0	185.0	3584.0	861.7	27468.0	0.7517971573431261	TRUE	patient	TCGA-44-6146	TCGA-44-6146
CEBPB	JASPAR2024|000235|MA0466.4	1e-06	0.0	300.0	3584.0	1724.7	27468.0	0.4491526273237316	TRUE	patient	TCGA-44-6146	TCGA-44-6146
ZNF444	CIS-BP2.00|000420|M04529_2.00	0.0001	0.0005	1383.0	3584.0	9728.9	27468.0	0.19638653552815855	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXA1	CIS-BP2.00|000890|M07960_2.00	0.0001	0.0006	1959.0	3584.0	14130.8	27468.0	0.18621772987025711	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ETV1	JASPAR2024|000311|MA0761.3	0.01	0.0524	3569.0	3584.0	27259.7	27468.0	0.8187793515751729	FALSE	patient	TCGA-44-6146	TCGA-44-6146
NFATC4	JASPAR2024|000506|MA1525.3	0.01	0.0524	2557.0	3584.0	19082.0	27468.0	0.12948640553521523	FALSE	patient	TCGA-44-6146	TCGA-44-6146
CEBPB	CIS-BP2.00|000866|M07830_2.00	0.01	0.0524	1647.0	3584.0	12073.8	27468.0	0.11657635623698037	FALSE	patient	TCGA-44-6146	TCGA-44-6146
XBP1	JASPAR2024|000675|MA0844.2	0.01	0.0524	1696.0	3584.0	12460.1	27468.0	0.11371729172408655	FALSE	patient	TCGA-44-6146	TCGA-44-6146
XBP1	CIS-BP2.00|000375|M04231_2.00	0.1	0.0675	3313.0	3584.0	25112.4	27468.0	0.1953758556998819	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF341	CIS-BP2.00|001017|M08310_2.00	0.1	0.1031	3583.0	3584.0	27427.1	27468.0	1.8504092340969083	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXA2	CIS-BP2.00|000889|M07959_2.00	0.1	0.1031	2194.0	3584.0	16372.1	27468.0	0.09709678238209003	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ETV1	CIS-BP2.00|000457|M04708_2.00	0.1	0.1031	3581.0	3584.0	27404.7	27468.0	1.252315780635107	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXD2	JASPAR2024|000361|MA0847.4	0.1	0.1309	1365.0	3584.0	10068.5	27468.0	0.08836150192113275	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF33A	CIS-BP2.00|000762|M07695_2.00	0.1	0.1391	3299.0	3584.0	25063.5	27468.0	0.1491768913374421	FALSE	patient	TCGA-44-6146	TCGA-44-6146
CREB3L2	JASPAR2024|000025|MA0608.1	0.1	0.1526	1843.0	3584.0	13749.2	27468.0	0.07892367493899172	FALSE	patient	TCGA-44-6146	TCGA-44-6146
CREB3L2	CIS-BP2.00|000117|M01812_2.00	0.1	0.1542	1852.0	3584.0	13826.2	27468.0	0.07724821223883077	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF141	CIS-BP2.00|000653|M07586_2.00	0.1	0.1542	2623.0	3584.0	19775.9	27468.0	0.08589739663438226	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ELF3	JASPAR2024|000276|MA0640.3	0.1	0.1542	3575.0	3584.0	27352.0	27468.0	0.6808028392405109	FALSE	patient	TCGA-44-6146	TCGA-44-6146
CEBPA	CIS-BP2.00|000926|M08076_2.00	0.1	0.1542	1374.0	3584.0	10181.5	27468.0	0.07820072607915668	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF19	CIS-BP2.00|000670|M07603_2.00	1.0	0.2603	3570.0	3584.0	27319.5	27468.0	0.42542806505416686	FALSE	patient	TCGA-44-6146	TCGA-44-6146
CEBPA	JASPAR2024|000234|MA0102.5	1.0	0.3357	2616.0	3584.0	19840.6	27468.0	0.054680128861570074	FALSE	patient	TCGA-44-6146	TCGA-44-6146
HNF4A	JASPAR2024|000409|MA1494.2	1.0	0.3357	422.0	3584.0	3089.7	27468.0	0.07581276195033655	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF33B	CIS-BP2.00|000777|M07710_2.00	1.0	0.3357	1257.0	3584.0	9423.4	27468.0	0.04898823497838044	FALSE	patient	TCGA-44-6146	TCGA-44-6146
NR3C2	JASPAR2024|000539|MA0727.2	1.0	0.3357	258.0	3584.0	1866.9	27468.0	0.09136223446825287	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF341	JASPAR2024|000712|MA1655.2	1.0	0.4364	3583.0	3584.0	27450.0	27468.0	0.6870996969464925	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXA2	JASPAR2024|000357|MA0047.4	1.0	0.5432	2807.0	3584.0	21417.1	27468.0	0.028915473406762295	FALSE	patient	TCGA-44-6146	TCGA-44-6146
E2F5	CIS-BP2.00|000940|M08109_2.00	1.0	0.565	3093.0	3584.0	23635.3	27468.0	0.029624194786044823	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXA3	JASPAR2024|000358|MA1683.2	1.0	0.6243	3177.0	3584.0	24303.8	27468.0	0.021949227752417835	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF540	CIS-BP2.00|000701|M07634_2.00	1.0	0.7216	773.0	3584.0	5903.6	27468.0	0.0070291137855549145	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF75D	CIS-BP2.00|000750|M07683_2.00	1.0	0.7301	2229.0	3584.0	17070.7	27468.0	0.0026089225818454157	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF75D	JASPAR2024|000169|MA1601.2	1.0	0.8176	2489.0	3584.0	19103.8	27468.0	-0.0072451618080745335	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXA1	JASPAR2024|000356|MA0148.5	1.0	0.9674	2867.0	3584.0	22055.4	27468.0	-0.027894936720377603	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ETV1	JASPAR2024|000652|MA1966.2	1.0	1.0	3460.0	3584.0	26572.9	27468.0	-0.09422163310495478	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXD2	CIS-BP2.00|000235|M03042_2.00	1.0	1.0	1286.0	3584.0	10013.7	27468.0	-0.03566455654564579	FALSE	patient	TCGA-44-6146	TCGA-44-6146
HNF4A	JASPAR2024|000410|MA0114.5	1.0	1.0	3433.0	3584.0	26379.6	27468.0	-0.096216394471214	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZBTB18	CIS-BP2.00|000988|M08257_2.00	1.0	1.0	3136.0	3584.0	24151.3	27468.0	-0.05811714016803504	FALSE	patient	TCGA-44-6146	TCGA-44-6146
NKX2-1	JASPAR2024|000822|MA1994.2	1.0	1.0	3404.0	3584.0	26169.6	27468.0	-0.09518497654357483	FALSE	patient	TCGA-44-6146	TCGA-44-6146
HNF4A	CIS-BP2.00|000974|M08219_2.00	1.0	1.0	3266.0	3584.0	25148.3	27468.0	-0.07978812453263538	FALSE	patient	TCGA-44-6146	TCGA-44-6146
NFATC4	CIS-BP2.00|000101|M01306_2.00	1.0	1.0	3584.0	3584.0	27470.3	27468.0	-2.938055127637498	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF281	JASPAR2024|000706|MA1630.3	1.0	1.0	2910.0	3584.0	22520.6	27468.0	-0.07701237751858016	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZBTB18	JASPAR2024|000681|MA0698.2	1.0	1.0	2009.0	3584.0	15720.0	27468.0	-0.06914370987392726	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF281	CIS-BP2.00|001020|M08321_2.00	1.0	1.0	2901.0	3584.0	22489.6	27468.0	-0.08960544535588098	FALSE	patient	TCGA-44-6146	TCGA-44-6146
GATA6	CIS-BP2.00|000947|M08124_2.00	1.0	1.0	2627.0	3584.0	20442.6	27468.0	-0.08451266382458858	FALSE	patient	TCGA-44-6146	TCGA-44-6146
GATA6	JASPAR2024|000382|MA1104.3	1.0	1.0	2906.0	3584.0	22547.3	27468.0	-0.0970424334540308	FALSE	patient	TCGA-44-6146	TCGA-44-6146
ZNF254	CIS-BP2.00|000827|M07760_2.00	1.0	1.0	538.0	3584.0	4482.0	27468.0	-0.141723165387333	FALSE	patient	TCGA-44-6146	TCGA-44-6146
NR3C2	CIS-BP2.00|000154|M02395_2.00	1.0	1.0	3583.0	3584.0	27470.3	27468.0	-4.5234201660400855	FALSE	patient	TCGA-44-6146	TCGA-44-6146
FOXA3	CIS-BP2.00|000469|M04831_2.00	1e-13	0.0	199.0	3586.0	856.2	27442.0	0.8699888185121135	TRUE	patient	TCGA-44-A47F	TCGA-44-A47F
ELF3	CIS-BP2.00|000227|M03002_2.00	1e-09	0.0	1539.0	3586.0	10371.4	27442.0	0.30747423721236355	TRUE	patient	TCGA-44-A47F	TCGA-44-A47F
CEBPB	JASPAR2024|000235|MA0466.4	1e-06	0.0	302.0	3586.0	1730.8	27442.0	0.4518306410851551	TRUE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF444	CIS-BP2.00|000420|M04529_2.00	1e-05	0.0	1390.0	3586.0	9610.8	27442.0	0.23203801073657768	TRUE	patient	TCGA-44-A47F	TCGA-44-A47F
XBP1	JASPAR2024|000675|MA0844.2	0.001	0.0013	1745.0	3586.0	12538.2	27442.0	0.17209979980802936	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ELF3	JASPAR2024|000276|MA0640.3	0.01	0.0282	3579.0	3586.0	27361.7	27442.0	0.4950385453249168	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
CEBPB	CIS-BP2.00|000866|M07830_2.00	0.01	0.0495	1650.0	3586.0	12088.3	27442.0	0.11441394077289067	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
XBP1	CIS-BP2.00|000375|M04231_2.00	0.1	0.0987	3314.0	3586.0	25131.8	27442.0	0.16132228219972067	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
CEBPA	CIS-BP2.00|000926|M08076_2.00	0.1	0.1559	1384.0	3586.0	10187.4	27442.0	0.09038916540784339	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF141	CIS-BP2.00|000653|M07586_2.00	0.1	0.2369	2620.0	3586.0	19742.8	27442.0	0.08051146269498706	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
NFATC4	JASPAR2024|000506|MA1525.3	0.1	0.2369	2532.0	3586.0	19062.3	27442.0	0.07829971229068168	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
CREB3L2	CIS-BP2.00|000117|M01812_2.00	0.1	0.2369	1852.0	3586.0	13833.9	27442.0	0.07121228210622636	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
CREB3L2	JASPAR2024|000025|MA0608.1	0.1	0.3491	1834.0	3586.0	13756.8	27442.0	0.058444333009285254	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXD2	JASPAR2024|000361|MA0847.4	1.0	0.3967	1338.0	3586.0	9991.6	27442.0	0.05609587734066546	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXA1	CIS-BP2.00|000890|M07960_2.00	1.0	0.4184	1861.0	3586.0	14007.0	27442.0	0.04930166186498437	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
HNF4A	JASPAR2024|000410|MA0114.5	1.0	0.4573	3453.0	3586.0	26374.2	27442.0	0.06738163934640667	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF341	CIS-BP2.00|001017|M08310_2.00	1.0	0.4858	3581.0	3586.0	27429.7	27442.0	-1.7184890076132529	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ETV1	JASPAR2024|000311|MA0761.3	1.0	0.4893	3562.0	3586.0	27265.3	27442.0	-0.08160561705466389	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXD2	CIS-BP2.00|000235|M03042_2.00	1.0	0.4893	1328.0	3586.0	9982.8	27442.0	0.04087339895975492	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXA2	CIS-BP2.00|000889|M07959_2.00	1.0	0.4893	2144.0	3586.0	16238.4	27442.0	0.03664285245545018	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF75D	JASPAR2024|000169|MA1601.2	1.0	0.5095	2508.0	3586.0	19063.7	27442.0	0.0317483128296403	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF19	CIS-BP2.00|000670|M07603_2.00	1.0	0.5095	3569.0	3586.0	27329.0	27442.0	-0.23939968820502283	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF33A	CIS-BP2.00|000762|M07695_2.00	1.0	0.6472	3269.0	3586.0	24991.3	27442.0	0.014346820483711619	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF75D	CIS-BP2.00|000750|M07683_2.00	1.0	0.6472	2236.0	3586.0	17030.5	27442.0	0.01783318790371033	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
NKX2-1	JASPAR2024|000822|MA1994.2	1.0	0.6472	3418.0	3586.0	26150.1	27442.0	0.0038234415512153684	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF281	JASPAR2024|000706|MA1630.3	1.0	0.6472	2936.0	3586.0	22433.7	27442.0	0.011313848567742474	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXA1	JASPAR2024|000356|MA0148.5	1.0	0.7435	2878.0	3586.0	22024.0	27442.0	-0.0006663818823438907	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ETV1	JASPAR2024|000652|MA1966.2	1.0	0.9061	3465.0	3586.0	26564.9	27442.0	-0.0858058004240054	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ETV1	CIS-BP2.00|000457|M04708_2.00	1.0	0.9061	3576.0	3586.0	27410.0	27442.0	-1.308057907982916	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF281	CIS-BP2.00|001020|M08321_2.00	1.0	0.9061	2921.0	3586.0	22408.7	27442.0	-0.020172625630961456	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
NR3C2	JASPAR2024|000539|MA0727.2	1.0	0.9061	240.0	3586.0	1852.9	27442.0	-0.011232800825094095	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZBTB18	CIS-BP2.00|000988|M08257_2.00	1.0	0.9061	3150.0	3586.0	24179.9	27442.0	-0.03821683297202457	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXA2	JASPAR2024|000357|MA0047.4	1.0	0.9061	2780.0	3586.0	21356.9	27442.0	-0.025666713466314772	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
CEBPA	JASPAR2024|000234|MA0102.5	1.0	0.9061	2575.0	3586.0	19792.6	27442.0	-0.023128571119162583	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
E2F5	CIS-BP2.00|000940|M08109_2.00	1.0	0.9061	3080.0	3586.0	23653.9	27442.0	-0.037841472060734085	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZBTB18	JASPAR2024|000681|MA0698.2	1.0	0.9061	2028.0	3586.0	15621.2	27442.0	-0.02190761398675044	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
HNF4A	CIS-BP2.00|000974|M08219_2.00	1.0	0.9061	3276.0	3586.0	25168.3	27442.0	-0.06871503517216569	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
HNF4A	JASPAR2024|000409|MA1494.2	1.0	0.9061	398.0	3586.0	3128.7	27442.0	-0.04231663749098707	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF33B	CIS-BP2.00|000777|M07710_2.00	1.0	0.9267	1206.0	3586.0	9401.9	27442.0	-0.040290354897693406	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXA3	JASPAR2024|000358|MA1683.2	1.0	0.994	3146.0	3586.0	24262.0	27442.0	-0.09486870265349905	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
NFATC4	CIS-BP2.00|000101|M01306_2.00	1.0	0.994	3584.0	3586.0	27473.8	27442.0	-5.260167021722603	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
NR3C2	CIS-BP2.00|000154|M02395_2.00	1.0	0.994	3584.0	3586.0	27473.8	27442.0	-5.260167021722603	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF540	CIS-BP2.00|000701|M07634_2.00	1.0	1.0	733.0	3586.0	5909.9	27442.0	-0.09466883721653147	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF341	JASPAR2024|000712|MA1655.2	1.0	1.0	3579.0	3586.0	27454.8	27442.0	-6.8461452862827565	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
GATA6	CIS-BP2.00|000947|M08124_2.00	1.0	1.0	2620.0	3586.0	20473.3	27442.0	-0.11571346180440893	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
GATA6	JASPAR2024|000382|MA1104.3	1.0	1.0	2894.0	3586.0	22569.0	27442.0	-0.14791612792494693	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
ZNF254	CIS-BP2.00|000827|M07760_2.00	1.0	1.0	482.0	3586.0	4524.2	27442.0	-0.34515409610133807	FALSE	patient	TCGA-44-A47F	TCGA-44-A47F
FOXA3	CIS-BP2.00|000469|M04831_2.00	1e-23	0.0	231.0	3581.0	854.1	27552.0	1.1100678499199683	TRUE	patient	TCGA-49-AARO	TCGA-49-AARO
ELF3	CIS-BP2.00|000227|M03002_2.00	1e-16	0.0	1600.0	3581.0	10393.8	27552.0	0.41507735945217866	TRUE	patient	TCGA-49-AARO	TCGA-49-AARO
ZNF444	CIS-BP2.00|000420|M04529_2.00	1e-05	0.0	1412.0	3581.0	9819.4	27552.0	0.2335528052418312	TRUE	patient	TCGA-49-AARO	TCGA-49-AARO
FOXA1	CIS-BP2.00|000890|M07960_2.00	1e-05	0.0001	1971.0	3581.0	14132.4	27552.0	0.21712294174384167	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
CREB3L2	JASPAR2024|000025|MA0608.1	0.0001	0.0001	1914.0	3581.0	13716.4	27552.0	0.21176377336530058	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
CREB3L2	CIS-BP2.00|000117|M01812_2.00	0.0001	0.0001	1923.0	3581.0	13793.6	27552.0	0.21016862050159227	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
XBP1	JASPAR2024|000675|MA0844.2	0.001	0.0015	1723.0	3581.0	12423.1	27552.0	0.17547409952009882	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
FOXD2	JASPAR2024|000361|MA0847.4	0.001	0.0034	1403.0	3581.0	10048.7	27552.0	0.1662814541339065	FALSE	patient	TCGA-49-AARO	TCGA-49-AARO
