panel	source_key	page_1based	x0_top	y0_top	x1_top	y1_top
SupplementaryFigure2D	SUPPLEMENT_PDF	3	0.410	0.250	0.700	0.560
SupplementaryFigure2E	SUPPLEMENT_PDF	3	0.700	0.250	0.995	0.560
SupplementaryFigure2F	SUPPLEMENT_PDF	3	0.005	0.595	0.995	0.995
SupplementaryFigure3A	SUPPLEMENT_PDF	5	0.005	0.005	0.326	0.185
SupplementaryFigure3B	SUPPLEMENT_PDF	5	0.330	0.005	0.643	0.185
SupplementaryFigure3C	SUPPLEMENT_PDF	5	0.665	0.005	0.995	0.185
SupplementaryFigure3D	SUPPLEMENT_PDF	5	0.005	0.185	0.330	0.472
SupplementaryFigure3E	SUPPLEMENT_PDF	5	0.330	0.185	0.640	0.472
SupplementaryFigure3F	SUPPLEMENT_PDF	5	0.680	0.200	0.995	0.472
SupplementaryFigure3G	SUPPLEMENT_PDF	5	0.005	0.472	0.335	0.745
SupplementaryFigure3H	SUPPLEMENT_PDF	5	0.330	0.472	0.640	0.745
SupplementaryFigure3I	SUPPLEMENT_PDF	5	0.648	0.472	0.995	0.745
SupplementaryFigure3J	SUPPLEMENT_PDF	5	0.005	0.745	0.337	0.965
SupplementaryFigure3K	SUPPLEMENT_PDF	5	0.335	0.745	0.646	0.965
SupplementaryFigure3L	SUPPLEMENT_PDF	5	0.645	0.745	0.995	0.965
SupplementaryFigure4A	SUPPLEMENT_PDF	7	0.005	0.005	0.995	0.150
SupplementaryFigure4B	SUPPLEMENT_PDF	7	0.005	0.145	0.440	0.330
SupplementaryFigure4C	SUPPLEMENT_PDF	7	0.005	0.325	0.440	0.500
SupplementaryFigure4D	SUPPLEMENT_PDF	7	0.455	0.145	0.995	0.510
SupplementaryFigure5A	SUPPLEMENT_PDF	9	0.005	0.005	0.995	0.285
SupplementaryFigure5B	SUPPLEMENT_PDF	9	0.005	0.330	0.995	0.995
SupplementaryFigure6A	SUPPLEMENT_PDF	11	0.005	0.005	0.255	0.285
SupplementaryFigure6B	SUPPLEMENT_PDF	11	0.255	0.005	0.500	0.285
SupplementaryFigure6C	SUPPLEMENT_PDF	11	0.495	0.005	0.745	0.285
SupplementaryFigure6D	SUPPLEMENT_PDF	11	0.745	0.005	0.995	0.285
SupplementaryFigure6E	SUPPLEMENT_PDF	11	0.005	0.285	0.255	0.570
SupplementaryFigure6F	SUPPLEMENT_PDF	11	0.255	0.285	0.500	0.570
SupplementaryFigure6G	SUPPLEMENT_PDF	11	0.495	0.285	0.745	0.570
SupplementaryFigure6H	SUPPLEMENT_PDF	11	0.745	0.285	0.995	0.570
SupplementaryFigure7A	SUPPLEMENT_PDF	13	0.005	0.005	0.336	0.210
SupplementaryFigure7B	SUPPLEMENT_PDF	13	0.360	0.005	0.995	0.210
SupplementaryFigure7C	SUPPLEMENT_PDF	13	0.005	0.205	0.995	0.735
SupplementaryFigure7D	SUPPLEMENT_PDF	13	0.005	0.735	0.355	0.995
