#Name (cmd = mergePeaks /media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/motif_gate/homer_parser_smoke/JASPAR2024/bg.clean.pos /media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/motif_gate/homer_parser_smoke/JASPAR2024/target.clean..pos -d given -cobound 1 -prefix /media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/motif_gate/homer_parser_smoke/JASPAR2024/0.0279205453853173.2.tmp)	chr	start	end	strand	stat	stat2	/media/desk16/iy13202/projects/Paper2Paper/tmp/tnbc-chromatin-tf-nc-2026/luad-figure2/audit/motif_gate/homer_parser_smoke/JASPAR2024/target.clean..pos
BGbg_1050	chr1	162822823	162822973	+	0.000	0.000	target_730
BGbg_1051	chr1	163321659	163322249	+	0.000	0.000	target_731
BGbg_1052	chr1	164558763	164559246	+	0.000	0.000	target_732
BGbg_1055	chr1	164787458	164787623	+	0.000	0.000	target_733
BGbg_1056	chr1	165598041	165598389	+	0.000	0.000	target_734
BGbg_1057	chr1	165630744	165631316	+	0.000	0.000	target_735
BGbg_1060	chr1	165698468	165698760	+	0.000	0.000	target_736
BGbg_1061	chr1	165768787	165769115	+	0.000	0.000	target_737
BGbg_1062	chr1	165827484	165827667	+	0.000	0.000	target_738
BGbg_1063	chr1	166167003	166167323	+	0.000	0.000	target_739
BGbg_1064	chr1	166839110	166839529	+	0.000	0.000	target_740
BGbg_1065	chr1	166876176	166876665	+	0.000	0.000	target_741
BGbg_1066	chr1	167220066	167220316	+	0.000	0.000	target_742
BGbg_1067	chr1	167220467	167220904	+	0.000	0.000	target_743
BGbg_1068	chr1	167267897	167268047	+	0.000	0.000	target_744
BGbg_1069	chr1	167442230	167442380	+	0.000	0.000	target_745
BGbg_1070	chr1	167553678	167553956	+	0.000	0.000	target_746
BGbg_1072	chr1	167721674	167722034	+	0.000	0.000	target_747
BGbg_1073	chr1	167803354	167803627	+	0.000	0.000	target_748
BGbg_1074	chr1	167935939	167936351	+	0.000	0.000	target_749
BGbg_1075	chr1	167936453	167936631	+	0.000	0.000	target_750
BGbg_1076	chr1	168178761	168179057	+	0.000	0.000	target_751
BGbg_1077	chr1	168179152	168179429	+	0.000	0.000	target_752
BGbg_1078	chr1	168225807	168226146	+	0.000	0.000	target_753
BGbg_1079	chr1	168235369	168235523	+	0.000	0.000	target_754
BGbg_1082	chr1	168342746	168342927	+	0.000	0.000	target_755
BGbg_1085	chr1	169106144	169106653	+	0.000	0.000	target_756
BGbg_1086	chr1	169367729	169368050	+	0.000	0.000	target_757
BGbg_1087	chr1	169368141	169368339	+	0.000	0.000	target_758
BGbg_1088	chr1	169485705	169486226	+	0.000	0.000	target_759
BGbg_1089	chr1	169546490	169546644	+	0.000	0.000	target_760
BGbg_1090	chr1	169586386	169586576	+	0.000	0.000	target_761
BGbg_1091	chr1	169712139	169712336	+	0.000	0.000	target_762
BGbg_1092	chr1	169794610	169794796	+	0.000	0.000	target_763
BGbg_1093	chr1	169794858	169795137	+	0.000	0.000	target_764
BGbg_1094	chr1	169893842	169894103	+	0.000	0.000	target_765
BGbg_1095	chr1	169894192	169894426	+	0.000	0.000	target_766
BGbg_1096	chr1	170074527	170074968	+	0.000	0.000	target_767
BGbg_1097	chr1	170532001	170532663	+	0.000	0.000	target_768
BGbg_1098	chr1	170689666	170689816	+	0.000	0.000	target_769
BGbg_1099	chr1	170929909	170930066	+	0.000	0.000	target_770
BGbg_1100	chr1	170967137	170967304	+	0.000	0.000	target_771
BGbg_1101	chr1	171226889	171227091	+	0.000	0.000	target_772
BGbg_1102	chr1	171245580	171245764	+	0.000	0.000	target_773
BGbg_1103	chr1	171313929	171314184	+	0.000	0.000	target_774
BGbg_1104	chr1	171405208	171405358	+	0.000	0.000	target_775
BGbg_1105	chr1	171485320	171485606	+	0.000	0.000	target_776
BGbg_1106	chr1	171644977	171645384	+	0.000	0.000	target_777
BGbg_1107	chr1	171741881	171742477	+	0.000	0.000	target_778
BGbg_1108	chr1	171781084	171781749	+	0.000	0.000	target_779
BGbg_1111	chr1	172429479	172429629	+	0.000	0.000	target_780
BGbg_1112	chr1	172443887	172444293	+	0.000	0.000	target_781
BGbg_1113	chr1	172449981	172450156	+	0.000	0.000	target_782
BGbg_1114	chr1	172532437	172532637	+	0.000	0.000	target_783
BGbg_1115	chr1	172532692	172533221	+	0.000	0.000	target_784
BGbg_1116	chr1	172728113	172728268	+	0.000	0.000	target_785
BGbg_1119	chr1	173476934	173477460	+	0.000	0.000	target_786
BGbg_1120	chr1	173714834	173715268	+	0.000	0.000	target_787
BGbg_1121	chr1	173824349	173824972	+	0.000	0.000	target_788
BGbg_1122	chr1	173867926	173868807	+	0.000	0.000	target_789
BGbg_1123	chr1	174022243	174022506	+	0.000	0.000	target_790
BGbg_1124	chr1	174114966	174115116	+	0.000	0.000	target_791
BGbg_1125	chr1	174159186	174159649	+	0.000	0.000	target_792
BGbg_1126	chr1	174999271	174999434	+	0.000	0.000	target_793
BGbg_1127	chr1	174999532	175000161	+	0.000	0.000	target_794
BGbg_1128	chr1	175023389	175023639	+	0.000	0.000	target_795
BGbg_1129	chr1	175029757	175030030	+	0.000	0.000	target_796
BGbg_1130	chr1	175125357	175125515	+	0.000	0.000	target_797
BGbg_1131	chr1	175146638	175146839	+	0.000	0.000	target_798
BGbg_1132	chr1	175192764	175193060	+	0.000	0.000	target_799
BGbg_1133	chr1	175757468	175757658	+	0.000	0.000	target_800
BGbg_1134	chr1	175888081	175888270	+	0.000	0.000	target_801
BGbg_1135	chr1	176207122	176207775	+	0.000	0.000	target_802
BGbg_1136	chr1	176949052	176949280	+	0.000	0.000	target_803
BGbg_1137	chr1	177181740	177181954	+	0.000	0.000	target_804
BGbg_1139	chr1	178031951	178032101	+	0.000	0.000	target_805
BGbg_1140	chr1	178037919	178038070	+	0.000	0.000	target_806
BGbg_1142	chr1	178093529	178093816	+	0.000	0.000	target_807
BGbg_1143	chr1	178093974	178094179	+	0.000	0.000	target_808
BGbg_1145	chr1	178126815	178127141	+	0.000	0.000	target_809
BGbg_1146	chr1	178189952	178190102	+	0.000	0.000	target_810
BGbg_1147	chr1	178238841	178238997	+	0.000	0.000	target_811
BGbg_1148	chr1	178310695	178310857	+	0.000	0.000	target_812
BGbg_1151	chr1	178725128	178725311	+	0.000	0.000	target_813
BGbg_1154	chr1	179025698	179026367	+	0.000	0.000	target_814
BGbg_1155	chr1	179081691	179082129	+	0.000	0.000	target_815
BGbg_1157	chr1	179293608	179293868	+	0.000	0.000	target_816
BGbg_1158	chr1	179365579	179365739	+	0.000	0.000	target_817
BGbg_1159	chr1	179365858	179366057	+	0.000	0.000	target_818
BGbg_1160	chr1	179877783	179877948	+	0.000	0.000	target_819
BGbg_1161	chr1	179882140	179882325	+	0.000	0.000	target_820
BGbg_1162	chr1	179882440	179882776	+	0.000	0.000	target_821
BGbg_1163	chr1	179954374	179954875	+	0.000	0.000	target_822
BGbg_1164	chr1	180154658	180154972	+	0.000	0.000	target_823
BGbg_1167	chr1	180502501	180503029	+	0.000	0.000	target_824
BGbg_1168	chr1	180515962	180516130	+	0.000	0.000	target_825
BGbg_1169	chr1	180631770	180632200	+	0.000	0.000	target_826
BGbg_1170	chr1	181022778	181023017	+	0.000	0.000	target_827
BGbg_1171	chr1	181033846	181033996	+	0.000	0.000	target_828
BGbg_1172	chr1	181088512	181088915	+	0.000	0.000	target_829
BGbg_1173	chr1	181105285	181105533	+	0.000	0.000	target_830
BGbg_1176	chr1	181937150	181937300	+	0.000	0.000	target_831
BGbg_1177	chr1	182029492	182030166	+	0.000	0.000	target_832
BGbg_1178	chr1	182069085	182069287	+	0.000	0.000	target_833
BGbg_1179	chr1	182085063	182085236	+	0.000	0.000	target_834
BGbg_1180	chr1	182143221	182143384	+	0.000	0.000	target_835
BGbg_1181	chr1	182391260	182391601	+	0.000	0.000	target_836
BGbg_1182	chr1	182391729	182391991	+	0.000	0.000	target_837
BGbg_1183	chr1	182789430	182789594	+	0.000	0.000	target_838
BGbg_1185	chr1	182839069	182839419	+	0.000	0.000	target_839
BGbg_1186	chr1	182962585	182962773	+	0.000	0.000	target_840
BGbg_1187	chr1	183023208	183023375	+	0.000	0.000	target_841
BGbg_1188	chr1	183023956	183024166	+	0.000	0.000	target_842
BGbg_1192	chr1	183228127	183228277	+	0.000	0.000	target_843
BGbg_1193	chr1	183471683	183472126	+	0.000	0.000	target_844
BGbg_1194	chr1	183472265	183472521	+	0.000	0.000	target_845
BGbg_1196	chr1	183623342	183623493	+	0.000	0.000	target_846
BGbg_1197	chr1	183635555	183636167	+	0.000	0.000	target_847
BGbg_1200	chr1	183916042	183916276	+	0.000	0.000	target_848
BGbg_1201	chr1	184051544	184051832	+	0.000	0.000	target_849
BGbg_1202	chr1	184386838	184387047	+	0.000	0.000	target_850
BGbg_1203	chr1	184754745	184755256	+	0.000	0.000	target_851
BGbg_1204	chr1	184805642	184805879	+	0.000	0.000	target_852
BGbg_1205	chr1	184974173	184974670	+	0.000	0.000	target_853
BGbg_1206	chr1	184982224	184982453	+	0.000	0.000	target_854
BGbg_1207	chr1	185045201	185045715	+	0.000	0.000	target_855
BGbg_1208	chr1	185156867	185157315	+	0.000	0.000	target_856
BGbg_1209	chr1	185157403	185157562	+	0.000	0.000	target_857
BGbg_1210	chr1	185316223	185316395	+	0.000	0.000	target_858
BGbg_1211	chr1	185317200	185317686	+	0.000	0.000	target_859
BGbg_1213	chr1	185646326	185646533	+	0.000	0.000	target_860
BGbg_1214	chr1	185670237	185670387	+	0.000	0.000	target_861
BGbg_1215	chr1	185733903	185734061	+	0.000	0.000	target_862
BGbg_1216	chr1	186155735	186155885	+	0.000	0.000	target_863
BGbg_1217	chr1	186212711	186212881	+	0.000	0.000	target_864
BGbg_1218	chr1	186375136	186375958	+	0.000	0.000	target_865
BGbg_1222	chr1	186722799	186722961	+	0.000	0.000	target_866
BGbg_1224	chr1	189149736	189149958	+	0.000	0.000	target_867
BGbg_1225	chr1	189708802	189708957	+	0.000	0.000	target_868
BGbg_1227	chr1	192808745	192809088	+	0.000	0.000	target_869
BGbg_1228	chr1	193059257	193059727	+	0.000	0.000	target_870
BGbg_1229	chr1	193059979	193060205	+	0.000	0.000	target_871
BGbg_1230	chr1	193104984	193105184	+	0.000	0.000	target_872
BGbg_1231	chr1	193105316	193105672	+	0.000	0.000	target_873
BGbg_1232	chr1	193121653	193122355	+	0.000	0.000	target_874
BGbg_1234	chr1	194295846	194296001	+	0.000	0.000	target_875
BGbg_1235	chr1	194342960	194343157	+	0.000	0.000	target_876
BGbg_1238	chr1	196723429	196723584	+	0.000	0.000	target_877
BGbg_1239	chr1	197146585	197146883	+	0.000	0.000	target_878
BGbg_1240	chr1	197201211	197201639	+	0.000	0.000	target_879
BGbg_1241	chr1	197400188	197400343	+	0.000	0.000	target_880
BGbg_1242	chr1	197615306	197615456	+	0.000	0.000	target_881
BGbg_1243	chr1	197774949	197775126	+	0.000	0.000	target_882
BGbg_1244	chr1	197775319	197775601	+	0.000	0.000	target_883
BGbg_1245	chr1	197869021	197869171	+	0.000	0.000	target_884
BGbg_1246	chr1	197902529	197903090	+	0.000	0.000	target_885,target_886
BGbg_1249	chr1	198156874	198157171	+	0.000	0.000	target_887
BGbg_1250	chr1	198157537	198157768	+	0.000	0.000	target_888
BGbg_1251	chr1	198159043	198159294	+	0.000	0.000	target_889
BGbg_1254	chr1	199735715	199735898	+	0.000	0.000	target_890
BGbg_1255	chr1	199759459	199759609	+	0.000	0.000	target_891
BGbg_1257	chr1	200409934	200410374	+	0.000	0.000	target_892
BGbg_1258	chr1	200483526	200483764	+	0.000	0.000	target_893
BGbg_1259	chr1	200620713	200620996	+	0.000	0.000	target_894
BGbg_1260	chr1	200669338	200669969	+	0.000	0.000	target_895
BGbg_1261	chr1	200670015	200670325	+	0.000	0.000	target_896
BGbg_1262	chr1	200739290	200739509	+	0.000	0.000	target_897
BGbg_1264	chr1	201114169	201114677	+	0.000	0.000	target_898
BGbg_1266	chr1	201170759	201171012	+	0.000	0.000	target_899
BGbg_1268	chr1	201185002	201185163	+	0.000	0.000	target_900
BGbg_1269	chr1	201222955	201223105	+	0.000	0.000	target_901
BGbg_1273	chr1	201448176	201448326	+	0.000	0.000	target_902
BGbg_1276	chr1	201482205	201482376	+	0.000	0.000	target_903
BGbg_1277	chr1	201507052	201507292	+	0.000	0.000	target_904
BGbg_1287	chr1	201955253	201955584	+	0.000	0.000	target_905
BGbg_1288	chr1	201982692	201982842	+	0.000	0.000	target_906
BGbg_1289	chr1	201983168	201983424	+	0.000	0.000	target_907
BGbg_1300	chr1	202154897	202155047	+	0.000	0.000	target_908
BGbg_1301	chr1	202184723	202185066	+	0.000	0.000	target_909
BGbg_1303	chr1	202341853	202342200	+	0.000	0.000	target_910
BGbg_1304	chr1	202348411	202348794	+	0.000	0.000	target_911
BGbg_1306	chr1	202861502	202861746	+	0.000	0.000	target_912
BGbg_1307	chr1	202888730	202888949	+	0.000	0.000	target_913
BGbg_1308	chr1	202888993	202889312	+	0.000	0.000	target_914
BGbg_1309	chr1	202926892	202927291	+	0.000	0.000	target_915
BGbg_1310	chr1	202958281	202958507	+	0.000	0.000	target_916
BGbg_1312	chr1	203007115	203007472	+	0.000	0.000	target_917
BGbg_1313	chr1	203327394	203327703	+	0.000	0.000	target_918
BGbg_1316	chr1	203861390	203861630	+	0.000	0.000	target_919
BGbg_1317	chr1	203861677	203861876	+	0.000	0.000	target_920
BGbg_1318	chr1	204073029	204073253	+	0.000	0.000	target_921
BGbg_1322	chr1	204411796	204412108	+	0.000	0.000	target_922
BGbg_1326	chr1	204516198	204516497	+	0.000	0.000	target_923
BGbg_1331	chr1	205122185	205122457	+	0.000	0.000	target_924
BGbg_1332	chr1	205211325	205211865	+	0.000	0.000	target_925,target_926
BGbg_1333	chr1	205227773	205227961	+	0.000	0.000	target_927
BGbg_1341	chr1	205631366	205631531	+	0.000	0.000	target_928
BGbg_1342	chr1	205631874	205632184	+	0.000	0.000	target_929
BGbg_1343	chr1	205749448	205749778	+	0.000	0.000	target_930
BGbg_1345	chr1	205775431	205775583	+	0.000	0.000	target_931
BGbg_1346	chr1	205813061	205813379	+	0.000	0.000	target_932
BGbg_1347	chr1	205907923	205908073	+	0.000	0.000	target_933
BGbg_1349	chr1	206202978	206203330	+	0.000	0.000	target_934
BGbg_1350	chr1	206470332	206470494	+	0.000	0.000	target_935
BGbg_1351	chr1	206612203	206612697	+	0.000	0.000	target_936
BGbg_1352	chr1	206635346	206635684	+	0.000	0.000	target_937
BGbg_1354	chr1	206864978	206865128	+	0.000	0.000	target_938
BGbg_1357	chr1	207005122	207005272	+	0.000	0.000	target_939
BGbg_1360	chr1	207052885	207053387	+	0.000	0.000	target_940
BGbg_1361	chr1	207084827	207084981	+	0.000	0.000	target_941
BGbg_1363	chr1	207321235	207321840	+	0.000	0.000	target_942
BGbg_1364	chr1	207405069	207405219	+	0.000	0.000	target_943
BGbg_1365	chr1	207579454	207579609	+	0.000	0.000	target_944
BGbg_1366	chr1	207620409	207620622	+	0.000	0.000	target_945
BGbg_1367	chr1	207699006	207699161	+	0.000	0.000	target_946
BGbg_1369	chr1	207751821	207752144	+	0.000	0.000	target_947
BGbg_1371	chr1	207869146	207869329	+	0.000	0.000	target_948
BGbg_1372	chr1	207963563	207963833	+	0.000	0.000	target_949
BGbg_1373	chr1	208132243	208132429	+	0.000	0.000	target_950
BGbg_1378	chr1	209335204	209335367	+	0.000	0.000	target_951
BGbg_1380	chr1	209566133	209566283	+	0.000	0.000	target_952
BGbg_1381	chr1	209602135	209602324	+	0.000	0.000	target_953
BGbg_1382	chr1	209747761	209748125	+	0.000	0.000	target_954
BGbg_1383	chr1	209784458	209784815	+	0.000	0.000	target_955
BGbg_1384	chr1	209806261	209806421	+	0.000	0.000	target_956
BGbg_1385	chr1	209827813	209828285	+	0.000	0.000	target_957
BGbg_1387	chr1	209938015	209938316	+	0.000	0.000	target_958
BGbg_1388	chr1	210311179	210311512	+	0.000	0.000	target_959
BGbg_1389	chr1	210328746	210329066	+	0.000	0.000	target_960
BGbg_1390	chr1	210329250	210329454	+	0.000	0.000	target_961
BGbg_1391	chr1	210373649	210374001	+	0.000	0.000	target_962
BGbg_1392	chr1	210374446	210374596	+	0.000	0.000	target_963
BGbg_1394	chr1	211134071	211134365	+	0.000	0.000	target_964
BGbg_1395	chr1	211259114	211259562	+	0.000	0.000	target_965,target_966
BGbg_1396	chr1	211382661	211382831	+	0.000	0.000	target_967
BGbg_1397	chr1	211470082	211470277	+	0.000	0.000	target_968
BGbg_1400	chr1	211577905	211578061	+	0.000	0.000	target_969
BGbg_1401	chr1	211579072	211579391	+	0.000	0.000	target_970
BGbg_1402	chr1	211675544	211675891	+	0.000	0.000	target_971
BGbg_1404	chr1	211830802	211830966	+	0.000	0.000	target_972
BGbg_1407	chr1	212035068	212035282	+	0.000	0.000	target_973
BGbg_1408	chr1	212035542	212035786	+	0.000	0.000	target_974
BGbg_1410	chr1	212285016	212285536	+	0.000	0.000	target_975
BGbg_1411	chr1	212414887	212415070	+	0.000	0.000	target_976
BGbg_1412	chr1	212432772	212432966	+	0.000	0.000	target_977
BGbg_1415	chr1	212608328	212608757	+	0.000	0.000	target_978
BGbg_1416	chr1	212665302	212665452	+	0.000	0.000	target_979
BGbg_1419	chr1	212791863	212792013	+	0.000	0.000	target_980
BGbg_1423	chr1	212950350	212950663	+	0.000	0.000	target_981
BGbg_1425	chr1	213015431	213015701	+	0.000	0.000	target_982
BGbg_1426	chr1	213015758	213015946	+	0.000	0.000	target_983
BGbg_1427	chr1	213051139	213051372	+	0.000	0.000	target_984
BGbg_1428	chr1	213061403	213061553	+	0.000	0.000	target_985
BGbg_1429	chr1	213374374	213374524	+	0.000	0.000	target_986
BGbg_1431	chr1	214281059	214281247	+	0.000	0.000	target_987
BGbg_1432	chr1	214281409	214281601	+	0.000	0.000	target_988
BGbg_1433	chr1	214551666	214552005	+	0.000	0.000	target_989
BGbg_1434	chr1	214602863	214603388	+	0.000	0.000	target_990
BGbg_1435	chr1	215567185	215567436	+	0.000	0.000	target_991
BGbg_1436	chr1	215567805	215568064	+	0.000	0.000	target_992
BGbg_1439	chr1	217631282	217631439	+	0.000	0.000	target_993
BGbg_1440	chr1	218285180	218285360	+	0.000	0.000	target_994
BGbg_1447	chr1	219173693	219174229	+	0.000	0.000	target_995
BGbg_1448	chr1	220046377	220046759	+	0.000	0.000	target_996
BGbg_1449	chr1	220089709	220089900	+	0.000	0.000	target_997
BGbg_1450	chr1	220093941	220094274	+	0.000	0.000	target_998
BGbg_1451	chr1	220272176	220272646	+	0.000	0.000	target_999
BGbg_1452	chr1	220296326	220296544	+	0.000	0.000	target_1000
BGbg_1453	chr1	220690111	220690393	+	0.000	0.000	target_1001
BGbg_1457	chr1	221742065	221742457	+	0.000	0.000	target_1002
BGbg_1458	chr1	222465246	222465770	+	0.000	0.000	target_1003
BGbg_1461	chr1	222589681	222589989	+	0.000	0.000	target_1004
BGbg_1462	chr1	222617709	222617934	+	0.000	0.000	target_1005
BGbg_1463	chr1	222644030	222644361	+	0.000	0.000	target_1006
BGbg_1464	chr1	222712466	222712617	+	0.000	0.000	target_1007
BGbg_1465	chr1	222713192	222713482	+	0.000	0.000	target_1008
BGbg_1466	chr1	222814926	222815154	+	0.000	0.000	target_1009
BGbg_1467	chr1	223081207	223081632	+	0.000	0.000	target_1010
BGbg_1470	chr1	223133732	223133950	+	0.000	0.000	target_1011
BGbg_1474	chr1	223845876	223846230	+	0.000	0.000	target_1012
BGbg_1475	chr1	223992541	223992787	+	0.000	0.000	target_1013
BGbg_1476	chr1	224114009	224114176	+	0.000	0.000	target_1014
BGbg_1477	chr1	224182962	224183392	+	0.000	0.000	target_1015
BGbg_1478	chr1	224330336	224330549	+	0.000	0.000	target_1016
BGbg_1479	chr1	224356720	224356947	+	0.000	0.000	target_1017
BGbg_1480	chr1	224615846	224616042	+	0.000	0.000	target_1018
BGbg_1481	chr1	224616187	224616354	+	0.000	0.000	target_1019
BGbg_1482	chr1	224929481	224929876	+	0.000	0.000	target_1020
BGbg_1483	chr1	225428128	225428322	+	0.000	0.000	target_1021
BGbg_1487	chr1	225653103	225653281	+	0.000	0.000	target_1022
BGbg_1491	chr1	225777615	225777866	+	0.000	0.000	target_1023
BGbg_1492	chr1	225809930	225810179	+	0.000	0.000	target_1024
BGbg_1493	chr1	225924125	225924488	+	0.000	0.000	target_1025
BGbg_1494	chr1	225999277	225999427	+	0.000	0.000	target_1026
BGbg_1495	chr1	226062448	226062598	+	0.000	0.000	target_1027
BGbg_1496	chr1	226083416	226083566	+	0.000	0.000	target_1028
BGbg_1503	chr1	226870471	226870621	+	0.000	0.000	target_1029
BGbg_1504	chr1	226939859	226940308	+	0.000	0.000	target_1030
BGbg_1506	chr1	227318290	227318781	+	0.000	0.000	target_1031
BGbg_1508	chr1	227563762	227563951	+	0.000	0.000	target_1032
BGbg_1511	chr1	227787957	227788240	+	0.000	0.000	target_1033
BGbg_1512	chr1	227934867	227935017	+	0.000	0.000	target_1034
BGbg_1515	chr1	227999389	227999567	+	0.000	0.000	target_1035
BGbg_1516	chr1	228082535	228082737	+	0.000	0.000	target_1036
BGbg_1518	chr1	228139869	228140323	+	0.000	0.000	target_1037
BGbg_1519	chr1	228165541	228165805	+	0.000	0.000	target_1038
BGbg_1520	chr1	228165908	228166257	+	0.000	0.000	target_1039
BGbg_1521	chr1	228406733	228407105	+	0.000	0.000	target_1040
BGbg_1522	chr1	228457843	228458063	+	0.000	0.000	target_1041
BGbg_1523	chr1	228487045	228487195	+	0.000	0.000	target_1042
BGbg_1528	chr1	228735258	228735408	+	0.000	0.000	target_1043
BGbg_1533	chr1	229342546	229342696	+	0.000	0.000	target_1044
BGbg_1534	chr1	229507985	229508135	+	0.000	0.000	target_1045
BGbg_1535	chr1	229508222	229508528	+	0.000	0.000	target_1046
BGbg_1536	chr1	229558776	229559282	+	0.000	0.000	target_1047
BGbg_1537	chr1	230066996	230067328	+	0.000	0.000	target_1048
BGbg_1541	chr1	230642249	230642794	+	0.000	0.000	target_1049
BGbg_1544	chr1	230978779	230979176	+	0.000	0.000	target_1050
BGbg_1547	chr1	231211493	231211689	+	0.000	0.000	target_1051
BGbg_1548	chr1	231241147	231241393	+	0.000	0.000	target_1052
BGbg_1549	chr1	231337751	231338076	+	0.000	0.000	target_1053
BGbg_1550	chr1	231338204	231338371	+	0.000	0.000	target_1054
BGbg_1551	chr1	231422168	231422764	+	0.000	0.000	target_1055
BGbg_1552	chr1	231512329	231512479	+	0.000	0.000	target_1056
BGbg_1553	chr1	231528481	231528818	+	0.000	0.000	target_1057
BGbg_1558	chr1	232630001	232630370	+	0.000	0.000	target_1058
BGbg_1560	chr1	232635845	232635995	+	0.000	0.000	target_1059
BGbg_1561	chr1	232950403	232950622	+	0.000	0.000	target_1060
BGbg_1564	chr1	233295641	233295837	+	0.000	0.000	target_1061
BGbg_1565	chr1	233327245	233327784	+	0.000	0.000	target_1062
BGbg_1573	chr1	234373204	234373492	+	0.000	0.000	target_1063
BGbg_1574	chr1	234373539	234373734	+	0.000	0.000	target_1064
BGbg_1575	chr1	234478621	234478771	+	0.000	0.000	target_1065
BGbg_1578	chr1	234599804	234599954	+	0.000	0.000	target_1066
BGbg_1579	chr1	234600014	234600428	+	0.000	0.000	target_1067
BGbg_1580	chr1	234610732	234611112	+	0.000	0.000	target_1068
BGbg_1592	chr1	235128718	235128978	+	0.000	0.000	target_1069
BGbg_1593	chr1	235161159	235161377	+	0.000	0.000	target_1070
BGbg_1594	chr1	235328242	235328566	+	0.000	0.000	target_1071
BGbg_1595	chr1	235328746	235329082	+	0.000	0.000	target_1072
BGbg_1596	chr1	235367172	235367705	+	0.000	0.000	target_1073
